time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.42
cone_height_m,0.000,0.019,0.037,0.056,0.074,0.092,0.108,0.124,0.138,0.151,0.164,0.176,0.187,0.197,0.208,0.218,0.227,0.237,0.246,0.255,0.264,0.273,0.281,0.29,0.298,0.306,0.315,0.323,0.331,0.339,0.347,0.355,0.363,0.371,0.378,0.386,0.394,0.401,0.409,0.416,0.424,0.431,0.439,0.446,0.453,0.460,0.468,0.475,0.482,0.489,0.496,0.503,0.51,0.517,0.523,0.530,0.537,0.544,0.550,0.557,0.563,0.57,0.576,0.583,0.589,0.595,0.602,0.608,0.614,0.620,0.626,0.632,0.638,0.644,0.65,0.656,0.661,0.667,0.672,0.678,0.683,0.689,0.694,0.699,0.704,0.709,0.714,0.719,0.723,0.728,0.732,0.736,0.740,0.744,0.748,0.752,0.755,0.759,0.762,0.765,0.768,0.771,0.774,0.777,0.779,0.782,0.784,0.787,0.789,0.791,0.793,0.795,0.797,0.798,0.8,0.801,0.802,0.803,0.804,0.805
ice_height_m,-1.,-0.981,-0.963,-0.944,-0.926,-0.907,-0.889,-0.870,-0.852,-0.833,-0.815,-0.796,-0.778,-0.759,-0.741,-0.723,-0.704,-0.686,-0.667,-0.649,-0.631,-0.612,-0.594,-0.576,-0.557,-0.539,-0.521,-0.503,-0.484,-0.466,-0.448,-0.43,-0.412,-0.393,-0.375,-0.357,-0.339,-0.321,-0.303,-0.285,-0.267,-0.249,-0.232,-0.214,-0.196,-0.178,-0.160,-0.143,-0.125,-0.107,-0.09,-0.072,-0.055,-0.037,-0.02,-0.002,0.015,0.032,0.05,0.067,0.084,0.101,0.118,0.135,0.152,0.169,0.186,0.203,0.219,0.236,0.252,0.269,0.285,0.301,0.318,0.334,0.35,0.366,0.381,0.397,0.412,0.428,0.443,0.458,0.473,0.488,0.502,0.517,0.531,0.545,0.559,0.572,0.586,0.599,0.612,0.624,0.636,0.648,0.659,0.670,0.681,0.691,0.701,0.710,0.719,0.728,0.735,0.743,0.75,0.756,0.762,0.767,0.772,0.777,0.781,0.784,0.788,0.791,0.793,0.795
cone_width_m,0.5,0.55,0.55,0.600,0.65,0.65,0.700,0.75,0.8,0.8,0.850,0.9,0.9,0.950,1.,1.,1.05,1.1,1.1,1.150,1.150,1.200,1.25,1.25,1.3,1.325,1.35,1.400,1.400,1.450,1.450,1.5,1.525,1.55,1.6,1.6,1.650,1.650,1.700,1.700,1.75,1.775,1.8,1.825,1.85,1.900,1.900,1.950,1.950,2.,2.,2.050,2.050,2.1,2.1,2.15,2.15,2.2,2.2,2.25,2.25,2.300,2.300,2.35,2.35,2.400,2.400,2.45,2.45,2.5,2.5,2.550,2.550,2.6,2.6,2.650,2.650,2.7,2.7,2.75,2.75,2.800,2.800,2.85,2.85,2.900,2.900,2.95,2.95,3.,3.,3.050,3.050,3.1,3.1,3.125,3.150,3.175,3.2,3.2,3.25,3.25,3.300,3.300,3.35,3.35,3.400,3.400,3.45,3.45,3.475,3.5,3.525,3.550,3.550,3.6,3.6,3.650,3.650,3.7
