simulation_number	D	h_c	S_c	b_0	debris_radius	debris_depth	cone_height	cone_width	days
1	0.001	0.08	1.4	0.02	0.25	0.5	0.756	2.375	95.42
2	0.001	0.08	1.4	0.03	0.25	0.5	0.863	2.3	68.47
3	0.001	0.08	1.4	0.04	0.25	0.5	0.939	2.275	53.85
4	0.001	0.08	1.4	0.05	0.25	0.5	0.997	2.25	44.56
5	0.001	0.08	1.4	0.06	0.25	0.5	1.043	2.25	38.1
6	0.0025	0.08	1.4	0.02	0.25	0.5	0.538	2.625	79.5
7	0.0025	0.08	1.4	0.03	0.25	0.5	0.629	2.5	57.53
8	0.0025	0.08	1.4	0.04	0.25	0.5	0.7	2.425	45.69
9	0.0025	0.08	1.4	0.05	0.25	0.5	0.756	2.375	38.16
10	0.0025	0.08	1.4	0.06	0.25	0.5	0.804	2.35	32.9
11	0.005	0.08	1.4	0.02	0.25	0.5	0.405	2.9	69.34
12	0.005	0.08	1.4	0.03	0.25	0.5	0.479	2.75	50.02
13	0.005	0.08	1.4	0.04	0.25	0.5	0.538	2.625	39.74
14	0.005	0.08	1.4	0.05	0.25	0.5	0.587	2.55	33.26
15	0.005	0.08	1.4	0.06	0.25	0.5	0.629	2.5	28.76
16	0.0075	0.08	1.4	0.02	0.25	0.5	0.341	3.1	64.38
17	0.0075	0.08	1.4	0.03	0.25	0.5	0.405	2.9	46.22
18	0.0075	0.08	1.4	0.04	0.25	0.5	0.456	2.8	36.65
19	0.0075	0.08	1.4	0.05	0.25	0.5	0.5	2.7	30.64
20	0.0075	0.08	1.4	0.06	0.25	0.5	0.538	2.625	26.49
21	0.01	0.08	1.4	0.02	0.25	0.5	0.301	3.25	61.31
22	0.01	0.08	1.4	0.03	0.25	0.5	0.358	3.05	43.83
23	0.01	0.08	1.4	0.04	0.25	0.5	0.405	2.9	34.66
24	0.01	0.08	1.4	0.05	0.25	0.5	0.444	2.8	28.94
25	0.01	0.08	1.4	0.06	0.25	0.5	0.479	2.75	25.0
