time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.35000000000001
cone_height_m,0.000,0.009,0.017,0.026,0.034,0.043,0.052,0.06,0.067,0.075,0.082,0.088,0.094,0.100,0.106,0.111,0.116,0.121,0.125,0.13,0.134,0.139,0.143,0.147,0.151,0.155,0.159,0.163,0.167,0.171,0.174,0.178,0.182,0.185,0.189,0.192,0.196,0.199,0.203,0.206,0.21,0.213,0.216,0.22,0.223,0.226,0.229,0.233,0.236,0.239,0.242,0.245,0.248,0.252,0.255,0.258,0.261,0.264,0.267,0.27,0.273,0.275,0.278,0.281,0.284,0.287,0.29,0.293,0.295,0.298,0.301,0.303,0.306,0.309,0.311,0.314,0.316,0.319,0.321,0.324,0.326,0.329,0.331,0.333,0.336,0.338,0.340,0.343,0.345,0.347,0.349,0.351,0.353,0.355,0.357,0.359,0.361,0.362,0.364,0.366,0.368,0.369,0.371,0.372,0.374,0.375,0.376,0.378,0.379,0.380,0.382,0.383,0.384,0.385,0.386,0.387,0.388,0.39,0.391,0.392,0.392,0.393,0.394,0.395,0.396,0.397,0.398,0.398,0.399,0.4,0.400,0.401,0.402,0.402,0.403,0.403,0.404,0.404,0.404,0.405
ice_height_m,-0.5,-0.491,-0.483,-0.474,-0.466,-0.457,-0.448,-0.44,-0.431,-0.422,-0.414,-0.405,-0.397,-0.388,-0.379,-0.371,-0.362,-0.354,-0.345,-0.337,-0.328,-0.32,-0.311,-0.303,-0.294,-0.286,-0.277,-0.269,-0.260,-0.252,-0.243,-0.235,-0.227,-0.218,-0.210,-0.202,-0.193,-0.185,-0.177,-0.169,-0.160,-0.152,-0.144,-0.136,-0.128,-0.119,-0.111,-0.103,-0.095,-0.087,-0.079,-0.071,-0.063,-0.055,-0.047,-0.039,-0.032,-0.024,-0.016,-0.008,-0.000,0.007,0.015,0.023,0.030,0.038,0.045,0.053,0.060,0.068,0.075,0.083,0.09,0.097,0.104,0.112,0.119,0.126,0.133,0.14,0.147,0.154,0.161,0.167,0.174,0.181,0.187,0.194,0.200,0.207,0.213,0.219,0.226,0.232,0.238,0.244,0.249,0.255,0.261,0.267,0.272,0.277,0.283,0.288,0.293,0.298,0.303,0.308,0.312,0.317,0.321,0.325,0.329,0.333,0.337,0.341,0.345,0.348,0.351,0.355,0.358,0.361,0.364,0.366,0.369,0.371,0.374,0.376,0.378,0.380,0.382,0.384,0.386,0.387,0.389,0.390,0.392,0.393,0.394,0.395
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.850,0.850,0.850,0.9,0.9,0.950,0.950,0.975,1.,1.,1.05,1.05,1.075,1.1,1.1,1.150,1.150,1.175,1.200,1.200,1.25,1.25,1.25,1.3,1.3,1.325,1.35,1.35,1.400,1.400,1.400,1.450,1.450,1.450,1.5,1.5,1.5,1.55,1.55,1.55,1.6,1.6,1.625,1.650,1.650,1.675,1.700,1.700,1.725,1.75,1.75,1.775,1.8,1.8,1.825,1.85,1.85,1.875,1.900,1.900,1.925,1.950,1.950,1.975,2.,2.,2.025,2.050,2.050,2.050,2.1,2.1,2.1,2.15,2.15,2.15,2.2,2.2,2.2,2.25,2.25,2.25,2.300,2.300,2.300,2.325,2.35,2.35,2.35,2.400,2.400,2.400,2.45,2.45,2.45,2.5,2.5,2.5,2.525,2.550,2.550,2.550,2.6,2.6,2.6,2.650,2.650,2.650,2.675,2.7,2.7,2.7,2.75,2.75,2.75,2.800,2.800,2.800,2.800,2.85,2.85,2.85,2.900,2.900,2.900
