time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,45.7
cone_height_m,0.000,0.017,0.034,0.052,0.069,0.086,0.103,0.120,0.136,0.152,0.167,0.182,0.196,0.209,0.222,0.234,0.246,0.257,0.268,0.279,0.29,0.3,0.31,0.32,0.329,0.339,0.348,0.357,0.366,0.375,0.383,0.392,0.400,0.409,0.417,0.425,0.433,0.441,0.449,0.456,0.464,0.472,0.479,0.486,0.494,0.501,0.508,0.515,0.521,0.528,0.535,0.541,0.547,0.554,0.56,0.566,0.571,0.577,0.583,0.588,0.594,0.599,0.604,0.609,0.614,0.619,0.624,0.629,0.634,0.638,0.642,0.647,0.651,0.655,0.658,0.662,0.666,0.669,0.672,0.675,0.678,0.681,0.683,0.685,0.688,0.69,0.692,0.693,0.695,0.696,0.698,0.699,0.7
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.310,-0.293,-0.276,-0.259,-0.242,-0.225,-0.208,-0.191,-0.173,-0.157,-0.14,-0.123,-0.106,-0.089,-0.072,-0.056,-0.039,-0.022,-0.006,0.011,0.027,0.044,0.06,0.076,0.092,0.108,0.124,0.140,0.156,0.172,0.188,0.203,0.219,0.234,0.249,0.264,0.279,0.294,0.309,0.323,0.338,0.352,0.366,0.380,0.394,0.407,0.421,0.434,0.447,0.459,0.472,0.484,0.496,0.507,0.519,0.53,0.540,0.551,0.561,0.570,0.58,0.589,0.597,0.605,0.613,0.621,0.628,0.634,0.640,0.646,0.652,0.657,0.662,0.666,0.670,0.674,0.677,0.681,0.684,0.686,0.689,0.69
cone_width_m,0.5,0.55,0.55,0.600,0.600,0.600,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.850,0.850,0.9,0.9,0.950,0.950,1.,1.,1.05,1.05,1.1,1.1,1.150,1.150,1.175,1.200,1.200,1.25,1.25,1.3,1.3,1.35,1.35,1.35,1.400,1.400,1.450,1.450,1.475,1.5,1.5,1.55,1.55,1.6,1.6,1.6,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.8,1.8,1.8,1.85,1.85,1.900,1.900,1.900,1.950,1.950,1.975,2.,2.,2.050,2.050,2.050,2.1,2.1,2.125,2.15,2.15,2.2,2.2,2.2,2.25,2.25,2.275,2.300,2.300,2.35,2.35,2.35,2.400,2.400,2.400,2.425
