time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5
cone_height_m,0.001,0.026,0.052,0.077,0.101,0.123,0.142,0.16,0.176,0.191,0.206,0.219,0.233,0.245,0.258,0.27,0.282,0.293,0.304,0.316,0.326,0.337,0.348,0.358,0.368,0.378,0.387,0.397,0.406,0.415,0.423,0.432,0.44,0.448,0.455,0.462,0.469,0.475,0.481,0.487,0.493,0.498,0.503,0.508,0.512,0.516,0.520,0.524,0.527,0.53,0.532,0.534,0.536,0.538
ice_height_m,-0.499,-0.474,-0.448,-0.422,-0.397,-0.371,-0.345,-0.319,-0.294,-0.268,-0.242,-0.217,-0.192,-0.167,-0.141,-0.117,-0.092,-0.067,-0.043,-0.018,0.006,0.03,0.053,0.077,0.100,0.123,0.146,0.168,0.190,0.212,0.233,0.254,0.275,0.294,0.314,0.333,0.351,0.368,0.385,0.401,0.416,0.430,0.444,0.456,0.467,0.478,0.487,0.495,0.503,0.509,0.515,0.52,0.524,0.528
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.75,0.8,0.850,0.9,0.950,1.,1.05,1.05,1.1,1.150,1.200,1.25,1.3,1.35,1.35,1.400,1.450,1.5,1.55,1.55,1.6,1.650,1.700,1.725,1.75,1.8,1.85,1.875,1.900,1.950,2.,2.025,2.050,2.1,2.15,2.15,2.2,2.25,2.300,2.300,2.35,2.400,2.400,2.45,2.5,2.525,2.550,2.6,2.625
