time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.27
cone_height_m,0.000,0.022,0.043,0.065,0.086,0.106,0.125,0.143,0.159,0.175,0.189,0.203,0.215,0.228,0.24,0.251,0.263,0.274,0.284,0.295,0.305,0.315,0.325,0.335,0.345,0.354,0.363,0.372,0.381,0.390,0.399,0.408,0.416,0.424,0.432,0.440,0.448,0.456,0.463,0.470,0.477,0.484,0.491,0.497,0.503,0.509,0.514,0.52,0.525,0.531,0.536,0.540,0.545,0.549,0.554,0.558,0.562,0.565,0.568,0.571,0.574,0.577,0.579,0.581,0.583,0.585,0.586,0.587
ice_height_m,-0.5,-0.478,-0.457,-0.435,-0.414,-0.392,-0.371,-0.349,-0.328,-0.306,-0.285,-0.263,-0.242,-0.221,-0.2,-0.179,-0.158,-0.137,-0.116,-0.095,-0.074,-0.054,-0.033,-0.013,0.007,0.028,0.048,0.068,0.087,0.107,0.126,0.145,0.165,0.183,0.202,0.221,0.239,0.257,0.274,0.292,0.309,0.326,0.342,0.358,0.374,0.389,0.404,0.418,0.432,0.445,0.458,0.47,0.481,0.492,0.502,0.512,0.520,0.529,0.536,0.543,0.549,0.555,0.56,0.565,0.569,0.572,0.575,0.577
cone_width_m,0.5,0.55,0.600,0.600,0.65,0.700,0.700,0.75,0.8,0.850,0.850,0.9,0.950,1.,1.,1.05,1.1,1.1,1.150,1.200,1.200,1.25,1.3,1.3,1.35,1.35,1.400,1.450,1.450,1.5,1.525,1.55,1.6,1.6,1.650,1.675,1.700,1.75,1.75,1.8,1.825,1.85,1.900,1.900,1.950,1.950,2.,2.,2.050,2.1,2.1,2.15,2.15,2.2,2.2,2.25,2.25,2.300,2.325,2.35,2.400,2.400,2.45,2.45,2.5,2.5,2.550,2.550
