time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,70.0,70.5,71.0,71.5,72.0,72.5,73.0,73.5,74.0,74.5,75.0,75.5,76.0,76.5,77.0,77.5,78.0,78.5,79.0,79.5,79.51
cone_height_m,0.000,0.009,0.017,0.026,0.034,0.043,0.052,0.060,0.069,0.077,0.085,0.093,0.101,0.109,0.116,0.123,0.13,0.136,0.142,0.148,0.154,0.16,0.165,0.171,0.176,0.181,0.186,0.191,0.196,0.201,0.206,0.210,0.215,0.219,0.224,0.228,0.233,0.237,0.241,0.245,0.25,0.254,0.258,0.262,0.266,0.27,0.274,0.278,0.282,0.286,0.289,0.293,0.297,0.301,0.305,0.308,0.312,0.316,0.319,0.323,0.327,0.330,0.334,0.337,0.341,0.344,0.348,0.351,0.355,0.358,0.361,0.365,0.368,0.371,0.375,0.378,0.381,0.384,0.387,0.391,0.394,0.397,0.4,0.403,0.406,0.409,0.412,0.415,0.418,0.421,0.423,0.426,0.429,0.432,0.435,0.437,0.44,0.443,0.445,0.448,0.450,0.453,0.455,0.457,0.46,0.462,0.464,0.467,0.469,0.471,0.473,0.475,0.477,0.479,0.481,0.483,0.485,0.487,0.489,0.491,0.493,0.494,0.496,0.498,0.5,0.501,0.503,0.505,0.506,0.508,0.509,0.511,0.512,0.514,0.515,0.516,0.518,0.519,0.520,0.521,0.523,0.524,0.525,0.526,0.527,0.528,0.529,0.53,0.531,0.531,0.532,0.533,0.534,0.534,0.535,0.536,0.536,0.537,0.537,0.538,0.538
ice_height_m,-0.5,-0.491,-0.483,-0.474,-0.466,-0.457,-0.448,-0.44,-0.431,-0.422,-0.414,-0.405,-0.397,-0.388,-0.379,-0.371,-0.362,-0.354,-0.345,-0.336,-0.328,-0.319,-0.311,-0.302,-0.294,-0.285,-0.276,-0.268,-0.259,-0.251,-0.242,-0.234,-0.225,-0.217,-0.209,-0.200,-0.192,-0.183,-0.175,-0.167,-0.158,-0.15,-0.141,-0.133,-0.125,-0.117,-0.108,-0.100,-0.092,-0.084,-0.075,-0.067,-0.059,-0.051,-0.043,-0.035,-0.026,-0.018,-0.010,-0.002,0.006,0.014,0.022,0.03,0.038,0.045,0.053,0.061,0.069,0.077,0.085,0.092,0.100,0.108,0.115,0.123,0.131,0.138,0.146,0.153,0.161,0.168,0.175,0.183,0.190,0.197,0.205,0.212,0.219,0.226,0.233,0.240,0.247,0.254,0.261,0.268,0.275,0.281,0.288,0.295,0.301,0.308,0.314,0.320,0.327,0.333,0.339,0.345,0.351,0.357,0.363,0.369,0.374,0.38,0.385,0.391,0.396,0.401,0.406,0.411,0.416,0.421,0.426,0.431,0.435,0.439,0.444,0.448,0.452,0.456,0.46,0.464,0.467,0.471,0.474,0.478,0.481,0.484,0.487,0.49,0.493,0.495,0.498,0.500,0.503,0.505,0.507,0.509,0.511,0.513,0.515,0.517,0.518,0.52,0.521,0.523,0.524,0.525,0.527,0.528,0.528
cone_width_m,0.5,0.5,0.55,0.55,0.55,0.600,0.600,0.600,0.65,0.65,0.65,0.700,0.700,0.700,0.75,0.75,0.75,0.8,0.8,0.8,0.825,0.850,0.850,0.850,0.9,0.9,0.9,0.950,0.950,0.950,1.,1.,1.,1.05,1.05,1.05,1.05,1.1,1.1,1.1,1.150,1.150,1.150,1.175,1.200,1.200,1.200,1.25,1.25,1.25,1.25,1.3,1.3,1.3,1.35,1.35,1.35,1.35,1.400,1.400,1.400,1.425,1.450,1.450,1.450,1.475,1.5,1.5,1.5,1.55,1.55,1.55,1.55,1.6,1.6,1.6,1.6,1.650,1.650,1.650,1.675,1.700,1.700,1.700,1.725,1.75,1.75,1.75,1.775,1.8,1.8,1.8,1.825,1.85,1.85,1.85,1.875,1.900,1.900,1.900,1.925,1.950,1.950,1.950,1.975,2.,2.,2.,2.025,2.050,2.050,2.050,2.075,2.1,2.1,2.1,2.125,2.15,2.15,2.15,2.15,2.2,2.2,2.2,2.2,2.25,2.25,2.25,2.25,2.300,2.300,2.300,2.300,2.325,2.35,2.35,2.35,2.375,2.400,2.400,2.400,2.400,2.45,2.45,2.45,2.45,2.475,2.5,2.5,2.5,2.525,2.550,2.550,2.550,2.550,2.6,2.6,2.6,2.6,2.625,2.625
