time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.03
cone_height_m,0.000,0.013,0.026,0.039,0.052,0.064,0.077,0.088,0.099,0.109,0.119,0.127,0.136,0.144,0.152,0.159,0.166,0.173,0.18,0.186,0.193,0.199,0.205,0.211,0.217,0.223,0.229,0.235,0.240,0.246,0.251,0.257,0.262,0.268,0.273,0.278,0.283,0.288,0.294,0.299,0.304,0.309,0.313,0.318,0.323,0.328,0.333,0.337,0.342,0.346,0.351,0.355,0.359,0.364,0.368,0.372,0.376,0.380,0.384,0.388,0.392,0.396,0.399,0.403,0.407,0.41,0.413,0.416,0.42,0.423,0.426,0.428,0.431,0.434,0.436,0.439,0.441,0.444,0.446,0.448,0.451,0.453,0.455,0.457,0.459,0.461,0.462,0.464,0.466,0.467,0.469,0.47,0.471,0.472,0.474,0.475,0.476,0.476,0.477,0.478,0.479,0.479
ice_height_m,-0.5,-0.487,-0.474,-0.461,-0.448,-0.435,-0.422,-0.409,-0.397,-0.384,-0.371,-0.358,-0.345,-0.332,-0.319,-0.307,-0.294,-0.281,-0.268,-0.256,-0.243,-0.230,-0.218,-0.205,-0.192,-0.18,-0.167,-0.155,-0.142,-0.130,-0.118,-0.105,-0.093,-0.081,-0.069,-0.057,-0.045,-0.032,-0.021,-0.009,0.003,0.015,0.027,0.039,0.050,0.062,0.073,0.085,0.096,0.107,0.119,0.13,0.141,0.152,0.162,0.173,0.184,0.194,0.205,0.215,0.225,0.235,0.245,0.255,0.265,0.274,0.284,0.293,0.302,0.311,0.319,0.328,0.336,0.344,0.352,0.36,0.367,0.374,0.381,0.387,0.394,0.4,0.406,0.411,0.417,0.422,0.426,0.431,0.435,0.439,0.443,0.446,0.45,0.453,0.456,0.458,0.461,0.463,0.465,0.467,0.469,0.469
cone_width_m,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.700,0.700,0.75,0.775,0.8,0.850,0.850,0.9,0.9,0.950,0.950,1.,1.,1.05,1.05,1.1,1.1,1.150,1.150,1.200,1.200,1.25,1.25,1.3,1.3,1.35,1.35,1.375,1.400,1.400,1.450,1.450,1.5,1.5,1.55,1.55,1.575,1.6,1.6,1.650,1.650,1.700,1.700,1.75,1.75,1.75,1.8,1.8,1.85,1.85,1.900,1.900,1.900,1.950,1.950,2.,2.,2.025,2.050,2.050,2.1,2.1,2.125,2.15,2.15,2.2,2.2,2.225,2.25,2.25,2.300,2.300,2.325,2.35,2.35,2.400,2.400,2.425,2.45,2.45,2.5,2.5,2.5,2.550,2.550,2.6,2.6,2.6,2.650,2.650,2.675,2.7,2.7,2.75,2.75
