time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,53.86
cone_height_m,0.000,0.017,0.034,0.052,0.069,0.086,0.103,0.121,0.138,0.155,0.172,0.189,0.206,0.223,0.239,0.255,0.271,0.286,0.301,0.316,0.330,0.344,0.358,0.371,0.384,0.397,0.409,0.421,0.433,0.444,0.455,0.466,0.477,0.488,0.498,0.508,0.518,0.528,0.538,0.547,0.556,0.566,0.575,0.584,0.593,0.601,0.610,0.619,0.627,0.635,0.644,0.652,0.66,0.668,0.676,0.683,0.691,0.698,0.706,0.713,0.721,0.728,0.735,0.742,0.749,0.756,0.763,0.769,0.776,0.782,0.789,0.795,0.802,0.808,0.814,0.82,0.826,0.832,0.837,0.843,0.848,0.854,0.859,0.864,0.869,0.873,0.878,0.882,0.887,0.891,0.895,0.899,0.902,0.906,0.909,0.912,0.915,0.918,0.921,0.923,0.925,0.928,0.93,0.931,0.933,0.935,0.936,0.938,0.939
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.310,-0.293,-0.276,-0.259,-0.241,-0.224,-0.207,-0.19,-0.173,-0.155,-0.138,-0.121,-0.104,-0.087,-0.07,-0.053,-0.036,-0.019,-0.002,0.015,0.032,0.049,0.066,0.083,0.099,0.116,0.133,0.149,0.166,0.182,0.199,0.215,0.232,0.248,0.264,0.280,0.296,0.312,0.328,0.344,0.36,0.375,0.391,0.406,0.422,0.437,0.452,0.467,0.482,0.497,0.512,0.526,0.541,0.555,0.569,0.583,0.597,0.610,0.624,0.637,0.65,0.663,0.675,0.688,0.7,0.712,0.723,0.735,0.746,0.756,0.767,0.777,0.787,0.797,0.806,0.815,0.824,0.832,0.84,0.848,0.855,0.862,0.868,0.874,0.880,0.886,0.891,0.896,0.901,0.905,0.909,0.912,0.916,0.919,0.922,0.925,0.927,0.929
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.600,0.600,0.65,0.65,0.65,0.700,0.700,0.700,0.75,0.75,0.8,0.8,0.8,0.850,0.850,0.9,0.9,0.9,0.950,0.950,0.950,1.,1.,1.05,1.05,1.05,1.1,1.1,1.1,1.150,1.150,1.175,1.200,1.200,1.225,1.25,1.25,1.3,1.3,1.3,1.35,1.35,1.35,1.400,1.400,1.400,1.450,1.450,1.450,1.5,1.5,1.5,1.525,1.55,1.55,1.575,1.6,1.6,1.625,1.650,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.75,1.775,1.8,1.8,1.8,1.85,1.85,1.85,1.900,1.900,1.900,1.925,1.950,1.950,1.950,2.,2.,2.,2.025,2.050,2.050,2.050,2.1,2.1,2.1,2.125,2.15,2.15,2.15,2.2,2.2,2.2,2.2,2.25,2.25,2.25,2.275
