time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,28.95
cone_height_m,0.000,0.022,0.043,0.064,0.083,0.100,0.115,0.129,0.141,0.153,0.164,0.174,0.184,0.194,0.204,0.213,0.222,0.231,0.24,0.248,0.257,0.265,0.273,0.281,0.289,0.297,0.305,0.312,0.32,0.327,0.334,0.341,0.347,0.354,0.360,0.366,0.372,0.378,0.384,0.389,0.394,0.398,0.403,0.407,0.410,0.414,0.418,0.421,0.424,0.427,0.43,0.432,0.435,0.437,0.439,0.440,0.442,0.443,0.444
ice_height_m,-0.5,-0.478,-0.457,-0.435,-0.414,-0.392,-0.371,-0.349,-0.328,-0.307,-0.285,-0.264,-0.243,-0.222,-0.201,-0.180,-0.16,-0.139,-0.118,-0.098,-0.078,-0.058,-0.038,-0.018,0.002,0.021,0.040,0.06,0.078,0.097,0.115,0.134,0.152,0.169,0.186,0.203,0.22,0.236,0.252,0.267,0.282,0.296,0.310,0.323,0.336,0.347,0.358,0.369,0.378,0.387,0.395,0.402,0.409,0.414,0.42,0.424,0.428,0.431,0.434
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.75,0.8,0.850,0.9,0.950,1.,1.05,1.1,1.125,1.150,1.200,1.25,1.3,1.35,1.400,1.400,1.450,1.5,1.55,1.6,1.6,1.650,1.700,1.75,1.775,1.8,1.85,1.900,1.925,1.950,2.,2.050,2.075,2.1,2.15,2.2,2.2,2.25,2.300,2.325,2.35,2.400,2.45,2.45,2.5,2.550,2.550,2.6,2.650,2.675,2.7,2.75,2.775,2.800
