time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.01
cone_height_m,0.001,0.026,0.052,0.077,0.099,0.119,0.136,0.152,0.166,0.18,0.193,0.205,0.217,0.229,0.240,0.251,0.262,0.273,0.283,0.293,0.304,0.313,0.323,0.332,0.342,0.351,0.359,0.368,0.376,0.384,0.392,0.399,0.406,0.413,0.42,0.425,0.431,0.436,0.441,0.446,0.450,0.455,0.459,0.462,0.465,0.468,0.471,0.473,0.475,0.477,0.479,0.479
ice_height_m,-0.499,-0.474,-0.448,-0.422,-0.397,-0.371,-0.345,-0.319,-0.294,-0.268,-0.243,-0.218,-0.192,-0.167,-0.142,-0.118,-0.093,-0.069,-0.045,-0.021,0.003,0.027,0.050,0.073,0.096,0.119,0.141,0.162,0.184,0.205,0.225,0.245,0.265,0.284,0.302,0.319,0.336,0.352,0.367,0.381,0.394,0.406,0.417,0.426,0.435,0.443,0.45,0.456,0.461,0.465,0.469,0.469
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.775,0.850,0.9,0.950,1.,1.05,1.1,1.150,1.200,1.25,1.3,1.35,1.375,1.400,1.450,1.5,1.55,1.6,1.650,1.700,1.75,1.75,1.8,1.85,1.900,1.950,2.,2.025,2.050,2.1,2.15,2.2,2.225,2.25,2.300,2.35,2.400,2.425,2.45,2.5,2.550,2.6,2.6,2.650,2.7,2.75,2.75
