time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.32
cone_height_m,0.000,0.015,0.029,0.040,0.049,0.055,0.061,0.066,0.071,0.076,0.080,0.085,0.089,0.093,0.097,0.100,0.104,0.107,0.110,0.113,0.116,0.119,0.121,0.124,0.126,0.128,0.129,0.131,0.132,0.133,0.134,0.135,0.136,0.137,0.138,0.138,0.139,0.139
ice_height_m,-0.25,-0.235,-0.22,-0.205,-0.19,-0.175,-0.16,-0.145,-0.131,-0.117,-0.103,-0.089,-0.075,-0.062,-0.049,-0.036,-0.024,-0.012,0.000,0.012,0.023,0.033,0.043,0.053,0.062,0.071,0.079,0.086,0.093,0.099,0.105,0.110,0.115,0.119,0.122,0.125,0.128,0.129
cone_width_m,0.25,0.300,0.350,0.350,0.4,0.45,0.5,0.5,0.55,0.600,0.625,0.65,0.700,0.700,0.75,0.8,0.8,0.850,0.850,0.9,0.925,0.950,0.975,1.,1.05,1.05,1.1,1.1,1.150,1.150,1.200,1.200,1.25,1.25,1.3,1.3,1.35,1.35
