time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,70.0,70.5,71.0,71.5,72.0,72.5,73.0,73.5,74.0,74.5,75.0,75.5,76.0,76.5,77.0,77.5,78.0,78.5,79.0,79.5,80.0,80.5,81.0,81.5,82.0,82.5,83.0,83.5,84.0,84.5,85.0,85.5,86.0,86.5,87.0,87.5,88.0,88.5,89.0,89.5,90.0,90.5,91.0,91.5,92.0,92.5,93.0,93.5,94.0,94.5,95.0,95.5,96.0,96.5,97.0,97.5,98.0,98.5,99.0,99.5,100.0,100.5,101.0,101.5,102.0,102.5,103.0,103.5,104.0,104.5,105.0,105.5,106.0,106.5,107.0,107.5,108.0,108.5,109.0,109.5,110.0,110.5,111.0,111.5,111.73
cone_height_m,0.000,0.019,0.038,0.058,0.077,0.096,0.115,0.134,0.152,0.17,0.187,0.203,0.219,0.234,0.248,0.262,0.276,0.289,0.302,0.315,0.327,0.339,0.351,0.363,0.374,0.386,0.397,0.408,0.418,0.429,0.44,0.450,0.461,0.471,0.481,0.492,0.502,0.512,0.522,0.532,0.541,0.551,0.561,0.571,0.580,0.59,0.6,0.609,0.619,0.628,0.637,0.647,0.656,0.665,0.675,0.684,0.693,0.702,0.711,0.721,0.73,0.739,0.748,0.757,0.766,0.775,0.784,0.793,0.801,0.810,0.819,0.828,0.837,0.845,0.854,0.863,0.871,0.880,0.889,0.897,0.906,0.914,0.923,0.931,0.94,0.948,0.957,0.965,0.973,0.982,0.990,0.998,1.007,1.015,1.023,1.031,1.04,1.048,1.056,1.064,1.072,1.080,1.088,1.096,1.104,1.112,1.120,1.128,1.136,1.144,1.152,1.16,1.168,1.176,1.183,1.191,1.199,1.207,1.214,1.222,1.23,1.237,1.245,1.252,1.260,1.268,1.275,1.283,1.290,1.298,1.305,1.312,1.32,1.327,1.334,1.342,1.349,1.356,1.364,1.371,1.378,1.385,1.392,1.399,1.406,1.413,1.420,1.427,1.434,1.441,1.448,1.455,1.462,1.469,1.476,1.482,1.489,1.496,1.502,1.509,1.516,1.522,1.529,1.535,1.542,1.548,1.554,1.561,1.567,1.573,1.579,1.585,1.591,1.597,1.603,1.609,1.615,1.621,1.627,1.632,1.638,1.643,1.649,1.654,1.659,1.664,1.669,1.674,1.679,1.684,1.688,1.693,1.697,1.701,1.705,1.71,1.714,1.717,1.721,1.725,1.729,1.732,1.736,1.739,1.743,1.746,1.749,1.752,1.755,1.758,1.761,1.763,1.766,1.768,1.770,1.772,1.774,1.776,1.778,1.779,1.781,1.782,1.783,1.784,1.785
ice_height_m,-2.,-1.981,-1.962,-1.942,-1.923,-1.904,-1.885,-1.865,-1.846,-1.827,-1.808,-1.788,-1.769,-1.750,-1.731,-1.712,-1.692,-1.673,-1.654,-1.635,-1.615,-1.596,-1.577,-1.558,-1.539,-1.519,-1.500,-1.481,-1.462,-1.443,-1.424,-1.404,-1.385,-1.366,-1.347,-1.328,-1.309,-1.289,-1.270,-1.251,-1.232,-1.213,-1.194,-1.175,-1.155,-1.136,-1.117,-1.098,-1.079,-1.06,-1.041,-1.022,-1.003,-0.984,-0.965,-0.945,-0.926,-0.907,-0.888,-0.869,-0.850,-0.831,-0.812,-0.793,-0.774,-0.755,-0.736,-0.717,-0.698,-0.679,-0.660,-0.641,-0.622,-0.603,-0.584,-0.565,-0.546,-0.528,-0.509,-0.49,-0.471,-0.452,-0.433,-0.414,-0.395,-0.376,-0.357,-0.339,-0.32,-0.301,-0.282,-0.263,-0.245,-0.226,-0.207,-0.188,-0.169,-0.151,-0.132,-0.113,-0.094,-0.076,-0.057,-0.038,-0.02,-0.001,0.018,0.036,0.055,0.074,0.092,0.111,0.129,0.148,0.166,0.185,0.203,0.222,0.240,0.259,0.277,0.296,0.314,0.333,0.351,0.369,0.388,0.406,0.424,0.443,0.461,0.479,0.497,0.516,0.534,0.552,0.570,0.588,0.606,0.625,0.643,0.661,0.679,0.697,0.715,0.732,0.750,0.768,0.786,0.804,0.822,0.839,0.857,0.875,0.892,0.91,0.927,0.945,0.962,0.98,0.997,1.014,1.032,1.049,1.066,1.083,1.1,1.117,1.134,1.151,1.168,1.184,1.201,1.217,1.234,1.250,1.267,1.283,1.299,1.315,1.331,1.347,1.362,1.378,1.393,1.409,1.424,1.439,1.454,1.468,1.483,1.497,1.511,1.525,1.539,1.552,1.565,1.578,1.591,1.603,1.615,1.626,1.638,1.648,1.659,1.669,1.679,1.688,1.696,1.705,1.712,1.72,1.726,1.733,1.739,1.744,1.749,1.754,1.758,1.762,1.765,1.768,1.771,1.774,1.775
cone_width_m,1.,1.05,1.1,1.150,1.200,1.25,1.3,1.35,1.400,1.450,1.5,1.55,1.6,1.650,1.700,1.75,1.75,1.8,1.85,1.900,1.950,2.,2.050,2.1,2.15,2.2,2.2,2.25,2.300,2.35,2.400,2.45,2.5,2.5,2.550,2.6,2.650,2.7,2.725,2.75,2.800,2.85,2.900,2.95,2.95,3.,3.050,3.1,3.150,3.150,3.2,3.25,3.300,3.35,3.35,3.400,3.45,3.5,3.525,3.550,3.6,3.650,3.7,3.7,3.75,3.800,3.85,3.85,3.900,3.95,4.,4.025,4.05,4.100,4.15,4.175,4.2,4.25,4.3,4.325,4.350,4.4,4.45,4.475,4.5,4.55,4.600,4.600,4.65,4.7,4.75,4.75,4.800,4.850,4.9,4.9,4.95,5.,5.050,5.050,5.100,5.15,5.175,5.2,5.25,5.300,5.300,5.350,5.4,5.45,5.45,5.5,5.550,5.550,5.600,5.65,5.7,5.7,5.75,5.800,5.800,5.850,5.9,5.95,5.95,6.,6.050,6.050,6.100,6.15,6.175,6.2,6.25,6.300,6.300,6.350,6.4,6.4,6.45,6.5,6.525,6.550,6.600,6.65,6.65,6.7,6.75,6.75,6.800,6.850,6.850,6.9,6.95,7.,7.,7.050,7.100,7.100,7.15,7.2,7.2,7.25,7.300,7.300,7.350,7.4,7.4,7.45,7.5,7.525,7.550,7.600,7.65,7.65,7.7,7.75,7.75,7.800,7.850,7.850,7.9,7.95,7.95,8.,8.05,8.05,8.1,8.15,8.15,8.200,8.25,8.25,8.3,8.35,8.35,8.4,8.450,8.450,8.5,8.55,8.55,8.6,8.65,8.65,8.700,8.75,8.75,8.8,8.85,8.85,8.9,8.950,8.950,9.,9.05,9.05,9.1,9.15,9.15,9.200,9.25,9.25,9.3,9.325,9.35
