time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,70.0,70.5,71.0,71.5,72.0,72.5,73.0,73.5,74.0,74.5,75.0,75.5,76.0,76.5,77.0,77.5,78.0,78.5,79.0,79.5,80.0,80.5,81.0,81.5,82.0,82.5,83.0,83.5,84.0,84.5,85.0,85.5,86.0,86.5,87.0,87.5,87.98
cone_height_m,0.000,0.019,0.038,0.057,0.075,0.090,0.104,0.116,0.127,0.137,0.147,0.156,0.165,0.174,0.183,0.191,0.199,0.207,0.215,0.222,0.230,0.238,0.245,0.253,0.260,0.267,0.275,0.282,0.289,0.296,0.303,0.310,0.317,0.324,0.331,0.338,0.345,0.352,0.358,0.365,0.372,0.378,0.385,0.392,0.398,0.405,0.411,0.418,0.424,0.430,0.437,0.443,0.449,0.456,0.462,0.468,0.474,0.480,0.486,0.493,0.499,0.505,0.511,0.517,0.523,0.529,0.534,0.540,0.546,0.552,0.558,0.564,0.569,0.575,0.581,0.586,0.592,0.598,0.603,0.609,0.615,0.620,0.626,0.631,0.637,0.642,0.647,0.653,0.658,0.664,0.669,0.674,0.679,0.685,0.69,0.695,0.700,0.706,0.711,0.716,0.721,0.726,0.731,0.736,0.741,0.746,0.751,0.756,0.761,0.766,0.771,0.776,0.780,0.785,0.79,0.795,0.799,0.804,0.809,0.813,0.818,0.823,0.827,0.832,0.836,0.841,0.845,0.85,0.854,0.858,0.863,0.867,0.871,0.875,0.879,0.884,0.888,0.892,0.896,0.9,0.903,0.907,0.911,0.915,0.918,0.922,0.925,0.929,0.932,0.935,0.939,0.942,0.945,0.947,0.950,0.953,0.955,0.957,0.959,0.961,0.963,0.965,0.966,0.967,0.968,0.969,0.970,0.971,0.972,0.973,0.974,0.975,0.976,0.977,0.977,0.978,0.978
ice_height_m,-2.,-1.981,-1.962,-1.942,-1.923,-1.904,-1.885,-1.865,-1.846,-1.827,-1.808,-1.789,-1.769,-1.750,-1.731,-1.712,-1.693,-1.673,-1.654,-1.635,-1.616,-1.597,-1.577,-1.558,-1.539,-1.520,-1.501,-1.482,-1.463,-1.444,-1.424,-1.405,-1.386,-1.367,-1.348,-1.329,-1.31,-1.291,-1.272,-1.253,-1.234,-1.215,-1.195,-1.176,-1.157,-1.138,-1.119,-1.100,-1.081,-1.062,-1.043,-1.024,-1.005,-0.987,-0.968,-0.949,-0.93,-0.911,-0.892,-0.873,-0.854,-0.835,-0.816,-0.798,-0.779,-0.76,-0.741,-0.722,-0.703,-0.685,-0.666,-0.647,-0.628,-0.61,-0.591,-0.572,-0.553,-0.535,-0.516,-0.497,-0.479,-0.460,-0.441,-0.423,-0.404,-0.386,-0.367,-0.349,-0.330,-0.312,-0.293,-0.275,-0.256,-0.238,-0.219,-0.201,-0.183,-0.164,-0.146,-0.128,-0.11,-0.091,-0.073,-0.055,-0.037,-0.019,-0.001,0.017,0.035,0.053,0.071,0.089,0.107,0.125,0.143,0.161,0.178,0.196,0.214,0.231,0.249,0.266,0.284,0.301,0.319,0.336,0.353,0.370,0.387,0.405,0.421,0.438,0.455,0.472,0.489,0.505,0.522,0.538,0.554,0.570,0.586,0.602,0.618,0.634,0.649,0.665,0.68,0.695,0.71,0.724,0.739,0.753,0.767,0.780,0.794,0.807,0.82,0.832,0.844,0.856,0.867,0.877,0.888,0.897,0.906,0.915,0.922,0.93,0.936,0.942,0.947,0.952,0.956,0.960,0.963,0.966,0.968
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.75,0.8,0.850,0.9,0.9,0.950,1.,1.05,1.1,1.150,1.200,1.200,1.25,1.3,1.35,1.375,1.400,1.450,1.5,1.55,1.55,1.6,1.650,1.675,1.700,1.75,1.8,1.8,1.85,1.900,1.925,1.950,2.,2.050,2.050,2.1,2.15,2.15,2.2,2.25,2.25,2.300,2.35,2.35,2.400,2.45,2.45,2.5,2.550,2.550,2.6,2.650,2.650,2.7,2.725,2.75,2.800,2.800,2.85,2.900,2.900,2.95,3.,3.,3.050,3.075,3.1,3.150,3.150,3.2,3.25,3.25,3.300,3.300,3.35,3.400,3.400,3.45,3.475,3.5,3.550,3.550,3.6,3.625,3.650,3.7,3.7,3.75,3.775,3.800,3.85,3.85,3.900,3.925,3.95,4.,4.,4.05,4.05,4.100,4.15,4.15,4.2,4.2,4.25,4.275,4.3,4.350,4.350,4.4,4.4,4.45,4.5,4.5,4.55,4.55,4.600,4.600,4.65,4.7,4.7,4.75,4.75,4.800,4.800,4.850,4.875,4.9,4.95,4.95,5.,5.,5.050,5.075,5.100,5.15,5.15,5.2,5.2,5.25,5.25,5.300,5.325,5.350,5.4,5.4,5.45,5.45,5.5,5.5,5.550,5.550,5.600,5.625,5.65,5.7,5.7,5.75,5.75,5.800,5.800,5.850,5.850,5.9,5.9,5.95,5.975,6.,6.050,6.050,6.100,6.100
