time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.410000000000004
cone_height_m,0.000,0.019,0.037,0.055,0.072,0.087,0.100,0.112,0.123,0.133,0.143,0.152,0.160,0.169,0.177,0.185,0.193,0.200,0.208,0.216,0.223,0.230,0.238,0.245,0.252,0.259,0.266,0.273,0.28,0.286,0.293,0.3,0.307,0.313,0.32,0.326,0.333,0.339,0.346,0.352,0.358,0.365,0.371,0.377,0.383,0.389,0.395,0.401,0.407,0.413,0.419,0.425,0.431,0.436,0.442,0.448,0.453,0.459,0.464,0.47,0.475,0.481,0.486,0.491,0.496,0.501,0.507,0.512,0.517,0.521,0.526,0.531,0.536,0.540,0.545,0.549,0.554,0.558,0.562,0.566,0.57,0.574,0.578,0.581,0.585,0.588,0.591,0.594,0.597,0.599,0.602,0.604,0.606,0.608,0.61,0.611,0.613,0.615,0.616,0.618,0.619,0.620,0.621,0.622,0.623,0.624,0.625,0.625
ice_height_m,-1.,-0.981,-0.963,-0.944,-0.926,-0.907,-0.889,-0.870,-0.852,-0.833,-0.815,-0.797,-0.778,-0.76,-0.741,-0.723,-0.705,-0.686,-0.668,-0.649,-0.631,-0.613,-0.595,-0.576,-0.558,-0.540,-0.522,-0.504,-0.486,-0.467,-0.449,-0.431,-0.413,-0.395,-0.377,-0.36,-0.342,-0.324,-0.306,-0.288,-0.270,-0.253,-0.235,-0.217,-0.2,-0.182,-0.165,-0.147,-0.13,-0.112,-0.095,-0.078,-0.060,-0.043,-0.026,-0.009,0.008,0.025,0.042,0.058,0.075,0.092,0.108,0.125,0.141,0.157,0.174,0.19,0.206,0.221,0.237,0.253,0.268,0.284,0.299,0.314,0.329,0.343,0.358,0.372,0.386,0.4,0.413,0.427,0.44,0.453,0.465,0.477,0.489,0.5,0.511,0.521,0.531,0.541,0.549,0.558,0.566,0.573,0.579,0.585,0.591,0.596,0.600,0.604,0.608,0.611,0.613,0.615
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.75,0.8,0.8,0.850,0.9,0.950,1.,1.05,1.1,1.150,1.150,1.200,1.25,1.3,1.325,1.35,1.400,1.450,1.475,1.5,1.55,1.6,1.6,1.650,1.700,1.75,1.75,1.8,1.85,1.85,1.900,1.950,1.950,2.,2.050,2.075,2.1,2.15,2.175,2.2,2.25,2.275,2.300,2.35,2.35,2.400,2.45,2.45,2.5,2.550,2.550,2.6,2.650,2.650,2.7,2.725,2.75,2.800,2.800,2.85,2.900,2.900,2.95,2.975,3.,3.050,3.050,3.1,3.150,3.150,3.2,3.2,3.25,3.300,3.300,3.35,3.35,3.400,3.45,3.45,3.5,3.5,3.550,3.6,3.6,3.650,3.650,3.7,3.725,3.75,3.800,3.800,3.85,3.85,3.900,3.95,3.95,4.,4.,4.05,4.05,4.100,4.125
