time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,23.900000000000002
cone_height_m,0.000,0.015,0.030,0.045,0.06,0.072,0.084,0.094,0.103,0.112,0.12,0.127,0.134,0.141,0.147,0.154,0.16,0.165,0.171,0.176,0.182,0.187,0.192,0.196,0.201,0.205,0.209,0.213,0.217,0.221,0.224,0.227,0.230,0.233,0.236,0.239,0.241,0.244,0.246,0.248,0.250,0.252,0.254,0.255,0.257,0.258,0.259,0.260,0.261
ice_height_m,-0.25,-0.235,-0.22,-0.205,-0.189,-0.174,-0.159,-0.144,-0.129,-0.114,-0.1,-0.085,-0.071,-0.056,-0.042,-0.028,-0.014,-0.001,0.013,0.026,0.039,0.051,0.064,0.076,0.088,0.099,0.111,0.122,0.132,0.142,0.152,0.161,0.17,0.178,0.186,0.194,0.201,0.207,0.213,0.219,0.224,0.229,0.233,0.237,0.240,0.244,0.247,0.249,0.251
cone_width_m,0.5,0.55,0.600,0.600,0.65,0.700,0.75,0.8,0.850,0.850,0.9,0.950,1.,1.05,1.05,1.1,1.150,1.200,1.200,1.25,1.3,1.325,1.35,1.400,1.425,1.450,1.5,1.525,1.55,1.6,1.625,1.650,1.700,1.700,1.75,1.8,1.8,1.85,1.875,1.900,1.950,1.950,2.,2.025,2.050,2.1,2.1,2.15,2.15
