time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,70.0,70.5,71.0,71.5,72.0,72.5,73.0,73.5,74.0,74.5,75.0,75.5,76.0,76.5,77.0,77.5,78.0,78.5,79.0,79.5,80.0,80.5,81.0,81.5,82.0,82.5,83.0,83.5,84.0,84.5,85.0,85.5,86.0,86.5,87.0,87.5,88.0,88.5,89.0,89.5,90.0,90.5,91.0,91.5,92.0,92.5,93.0,93.5,94.0,94.5,95.0,95.5,96.0,96.5,97.0,97.5,98.0,98.5,99.0,99.5,100.0,100.5,101.0,101.44
cone_height_m,0.000,0.019,0.037,0.056,0.074,0.093,0.111,0.13,0.148,0.167,0.185,0.204,0.222,0.241,0.259,0.277,0.296,0.314,0.332,0.350,0.368,0.386,0.403,0.421,0.438,0.455,0.472,0.489,0.506,0.522,0.539,0.555,0.571,0.587,0.602,0.618,0.633,0.649,0.664,0.679,0.694,0.709,0.723,0.738,0.752,0.767,0.781,0.795,0.809,0.823,0.836,0.850,0.864,0.877,0.891,0.904,0.917,0.930,0.943,0.956,0.969,0.982,0.995,1.007,1.02,1.032,1.045,1.057,1.07,1.082,1.094,1.106,1.118,1.130,1.142,1.154,1.166,1.178,1.19,1.201,1.213,1.225,1.236,1.248,1.259,1.271,1.282,1.293,1.304,1.316,1.327,1.338,1.349,1.360,1.371,1.382,1.393,1.404,1.415,1.425,1.436,1.447,1.457,1.468,1.479,1.489,1.5,1.51,1.520,1.531,1.541,1.551,1.561,1.571,1.582,1.592,1.602,1.611,1.621,1.631,1.641,1.651,1.660,1.670,1.68,1.689,1.699,1.708,1.717,1.727,1.736,1.745,1.754,1.763,1.772,1.781,1.79,1.799,1.807,1.816,1.825,1.833,1.842,1.85,1.858,1.866,1.875,1.883,1.891,1.899,1.907,1.914,1.922,1.93,1.937,1.945,1.952,1.96,1.967,1.974,1.981,1.988,1.995,2.002,2.009,2.015,2.022,2.028,2.035,2.041,2.047,2.053,2.059,2.065,2.071,2.076,2.081,2.087,2.092,2.097,2.102,2.106,2.111,2.115,2.119,2.123,2.127,2.131,2.134,2.138,2.141,2.144,2.147,2.15,2.152,2.154,2.157,2.159,2.161,2.163,2.164,2.166,2.167,2.168
ice_height_m,-1.,-0.981,-0.963,-0.944,-0.926,-0.907,-0.889,-0.870,-0.852,-0.833,-0.815,-0.796,-0.778,-0.759,-0.741,-0.722,-0.704,-0.685,-0.667,-0.648,-0.63,-0.611,-0.593,-0.574,-0.556,-0.537,-0.519,-0.500,-0.482,-0.463,-0.445,-0.426,-0.408,-0.389,-0.371,-0.352,-0.334,-0.315,-0.297,-0.278,-0.26,-0.241,-0.223,-0.204,-0.186,-0.168,-0.149,-0.131,-0.112,-0.094,-0.076,-0.057,-0.039,-0.020,-0.002,0.016,0.035,0.053,0.071,0.09,0.108,0.126,0.144,0.163,0.181,0.199,0.217,0.236,0.254,0.272,0.290,0.309,0.327,0.345,0.363,0.381,0.399,0.417,0.435,0.454,0.472,0.49,0.508,0.526,0.544,0.562,0.58,0.598,0.615,0.633,0.651,0.669,0.687,0.705,0.723,0.740,0.758,0.776,0.794,0.811,0.829,0.847,0.864,0.882,0.9,0.917,0.935,0.952,0.97,0.987,1.005,1.022,1.039,1.057,1.074,1.091,1.108,1.126,1.143,1.16,1.177,1.194,1.211,1.228,1.245,1.262,1.279,1.295,1.312,1.329,1.345,1.362,1.378,1.395,1.411,1.428,1.444,1.460,1.476,1.492,1.508,1.524,1.540,1.556,1.572,1.587,1.603,1.618,1.633,1.649,1.664,1.679,1.694,1.708,1.723,1.737,1.752,1.766,1.780,1.794,1.808,1.821,1.835,1.848,1.861,1.874,1.887,1.899,1.911,1.923,1.935,1.947,1.958,1.969,1.98,1.990,2.001,2.010,2.020,2.029,2.038,2.047,2.055,2.063,2.071,2.078,2.085,2.092,2.099,2.105,2.110,2.116,2.121,2.126,2.130,2.134,2.138,2.142,2.145,2.148,2.151,2.154,2.156,2.158
cone_width_m,2.,2.050,2.1,2.15,2.2,2.25,2.300,2.35,2.400,2.45,2.5,2.550,2.6,2.650,2.7,2.75,2.800,2.85,2.900,2.95,3.,3.050,3.050,3.1,3.150,3.2,3.25,3.300,3.35,3.400,3.45,3.5,3.550,3.6,3.650,3.650,3.7,3.75,3.800,3.85,3.900,3.95,4.,4.05,4.100,4.100,4.15,4.2,4.25,4.3,4.350,4.4,4.45,4.45,4.5,4.55,4.600,4.65,4.7,4.75,4.800,4.800,4.850,4.9,4.95,5.,5.050,5.100,5.100,5.15,5.2,5.25,5.300,5.350,5.350,5.4,5.45,5.5,5.550,5.600,5.65,5.65,5.7,5.75,5.800,5.850,5.9,5.9,5.95,6.,6.050,6.100,6.15,6.15,6.2,6.25,6.300,6.350,6.350,6.4,6.45,6.5,6.550,6.600,6.600,6.65,6.7,6.75,6.800,6.825,6.850,6.9,6.95,7.,7.050,7.050,7.100,7.15,7.2,7.25,7.25,7.300,7.350,7.4,7.45,7.45,7.5,7.550,7.600,7.65,7.675,7.7,7.75,7.800,7.850,7.9,7.9,7.95,8.,8.05,8.1,8.1,8.15,8.200,8.25,8.275,8.3,8.35,8.4,8.450,8.450,8.5,8.55,8.6,8.65,8.65,8.700,8.75,8.8,8.85,8.85,8.9,8.950,9.,9.05,9.05,9.1,9.15,9.200,9.200,9.25,9.3,9.35,9.4,9.4,9.450,9.5,9.55,9.575,9.600,9.65,9.700,9.75,9.75,9.8,9.850,9.9,9.925,9.950,10.,10.05,10.100,10.100,10.15,10.200,10.25,10.25,10.3,10.350,10.4,10.450,10.450,10.5,10.55
