time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,27.560000000000002
cone_height_m,0.000,0.017,0.033,0.045,0.054,0.061,0.068,0.074,0.08,0.085,0.090,0.095,0.100,0.105,0.11,0.114,0.119,0.123,0.128,0.132,0.136,0.141,0.145,0.149,0.153,0.157,0.160,0.164,0.168,0.171,0.175,0.178,0.181,0.184,0.187,0.190,0.193,0.195,0.198,0.200,0.203,0.205,0.206,0.208,0.21,0.211,0.212,0.213,0.214,0.214,0.215,0.215,0.216,0.216,0.217,0.217,0.217
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.38,-0.363,-0.346,-0.329,-0.312,-0.296,-0.279,-0.263,-0.246,-0.23,-0.214,-0.198,-0.182,-0.166,-0.15,-0.134,-0.119,-0.103,-0.088,-0.073,-0.059,-0.044,-0.03,-0.015,-0.001,0.012,0.026,0.039,0.052,0.064,0.076,0.088,0.1,0.110,0.121,0.131,0.140,0.149,0.158,0.165,0.172,0.179,0.185,0.19,0.194,0.198,0.201,0.204,0.207,0.207
cone_width_m,0.25,0.300,0.350,0.4,0.4,0.45,0.5,0.55,0.575,0.600,0.65,0.700,0.700,0.75,0.8,0.8,0.850,0.875,0.9,0.950,0.950,1.,1.025,1.05,1.075,1.1,1.150,1.150,1.200,1.200,1.25,1.275,1.3,1.325,1.35,1.375,1.400,1.450,1.450,1.5,1.5,1.55,1.55,1.6,1.6,1.650,1.650,1.700,1.700,1.75,1.75,1.775,1.8,1.825,1.85,1.875,1.875
