time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.38
cone_height_m,0.000,0.017,0.034,0.052,0.069,0.086,0.103,0.120,0.137,0.153,0.168,0.183,0.197,0.211,0.224,0.237,0.249,0.261,0.273,0.285,0.296,0.306,0.317,0.327,0.338,0.348,0.358,0.367,0.377,0.386,0.395,0.405,0.414,0.422,0.431,0.44,0.449,0.457,0.465,0.474,0.482,0.49,0.498,0.506,0.514,0.521,0.529,0.536,0.544,0.551,0.558,0.565,0.572,0.579,0.586,0.592,0.599,0.605,0.611,0.617,0.623,0.629,0.635,0.640,0.646,0.651,0.657,0.662,0.667,0.672,0.677,0.681,0.686,0.691,0.695,0.699,0.703,0.707,0.711,0.714,0.718,0.721,0.724,0.727,0.73,0.732,0.735,0.737,0.739,0.741,0.743,0.744,0.746,0.747,0.749,0.75
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.310,-0.293,-0.276,-0.259,-0.242,-0.225,-0.207,-0.190,-0.173,-0.156,-0.139,-0.122,-0.106,-0.089,-0.072,-0.055,-0.038,-0.022,-0.005,0.012,0.028,0.045,0.061,0.077,0.094,0.11,0.126,0.142,0.158,0.174,0.19,0.205,0.221,0.237,0.252,0.268,0.283,0.298,0.313,0.328,0.343,0.357,0.372,0.386,0.400,0.414,0.428,0.442,0.455,0.469,0.482,0.495,0.507,0.52,0.532,0.544,0.555,0.566,0.577,0.588,0.598,0.608,0.618,0.627,0.636,0.645,0.653,0.661,0.669,0.676,0.682,0.689,0.695,0.700,0.705,0.710,0.715,0.719,0.723,0.726,0.73,0.733,0.735,0.738,0.74
cone_width_m,1.,1.05,1.1,1.150,1.200,1.200,1.25,1.3,1.35,1.400,1.450,1.5,1.55,1.6,1.650,1.700,1.75,1.8,1.8,1.85,1.900,1.950,2.,2.050,2.1,2.1,2.15,2.2,2.25,2.300,2.35,2.35,2.400,2.45,2.5,2.550,2.550,2.6,2.650,2.7,2.75,2.75,2.800,2.85,2.900,2.900,2.95,3.,3.050,3.1,3.1,3.150,3.2,3.25,3.25,3.300,3.35,3.400,3.400,3.45,3.5,3.550,3.550,3.6,3.650,3.650,3.7,3.75,3.800,3.800,3.85,3.900,3.95,3.95,4.,4.05,4.05,4.100,4.15,4.2,4.2,4.25,4.3,4.3,4.350,4.4,4.425,4.45,4.5,4.55,4.55,4.600,4.65,4.65,4.7,4.75
