time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,56.56
cone_height_m,0.000,0.013,0.026,0.039,0.052,0.065,0.078,0.090,0.103,0.115,0.127,0.138,0.149,0.159,0.169,0.179,0.188,0.197,0.205,0.214,0.222,0.229,0.237,0.244,0.252,0.259,0.266,0.273,0.279,0.286,0.293,0.299,0.305,0.312,0.318,0.324,0.330,0.336,0.342,0.348,0.354,0.36,0.366,0.371,0.377,0.382,0.388,0.393,0.399,0.404,0.409,0.415,0.42,0.425,0.430,0.435,0.44,0.445,0.45,0.455,0.459,0.464,0.469,0.473,0.478,0.482,0.486,0.491,0.495,0.499,0.503,0.507,0.511,0.514,0.518,0.522,0.525,0.529,0.532,0.536,0.539,0.542,0.546,0.549,0.552,0.555,0.558,0.561,0.564,0.567,0.57,0.572,0.575,0.577,0.58,0.582,0.584,0.586,0.588,0.590,0.592,0.594,0.596,0.597,0.599,0.600,0.602,0.603,0.604,0.605,0.606,0.607,0.608,0.609,0.609
ice_height_m,-0.5,-0.487,-0.474,-0.461,-0.448,-0.435,-0.422,-0.409,-0.397,-0.384,-0.371,-0.358,-0.345,-0.332,-0.319,-0.306,-0.293,-0.280,-0.268,-0.255,-0.242,-0.229,-0.216,-0.204,-0.191,-0.178,-0.166,-0.153,-0.140,-0.128,-0.115,-0.103,-0.090,-0.078,-0.065,-0.053,-0.041,-0.028,-0.016,-0.004,0.008,0.021,0.033,0.045,0.057,0.069,0.081,0.093,0.104,0.116,0.128,0.14,0.151,0.163,0.174,0.186,0.197,0.208,0.219,0.230,0.241,0.252,0.263,0.274,0.285,0.295,0.306,0.316,0.326,0.336,0.346,0.356,0.366,0.375,0.385,0.394,0.403,0.412,0.421,0.43,0.438,0.446,0.455,0.462,0.470,0.478,0.485,0.492,0.499,0.505,0.512,0.518,0.524,0.53,0.535,0.540,0.545,0.550,0.555,0.559,0.563,0.567,0.571,0.574,0.577,0.581,0.583,0.586,0.589,0.591,0.593,0.595,0.597,0.599,0.599
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.825,0.850,0.850,0.9,0.9,0.950,0.950,0.975,1.,1.,1.05,1.05,1.075,1.1,1.1,1.150,1.150,1.175,1.200,1.200,1.25,1.25,1.25,1.3,1.3,1.325,1.35,1.35,1.400,1.400,1.400,1.450,1.450,1.450,1.5,1.5,1.525,1.55,1.55,1.575,1.6,1.6,1.650,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.75,1.8,1.8,1.8,1.85,1.85,1.85,1.900,1.900,1.900,1.950,1.950,1.950,2.,2.,2.,2.050,2.050,2.050,2.1,2.1,2.1,2.15,2.15,2.15,2.175,2.2,2.2,2.225,2.25,2.25,2.25,2.300,2.300,2.300,2.35,2.35,2.35,2.400,2.400,2.400,2.425,2.45,2.45,2.45,2.5,2.5,2.5,2.550,2.550
