time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,32.79
cone_height_m,0.000,0.022,0.043,0.065,0.086,0.106,0.125,0.143,0.159,0.174,0.188,0.201,0.214,0.226,0.238,0.249,0.26,0.271,0.281,0.291,0.301,0.311,0.321,0.330,0.34,0.349,0.358,0.367,0.376,0.384,0.393,0.401,0.409,0.417,0.425,0.433,0.440,0.448,0.455,0.462,0.468,0.475,0.481,0.487,0.493,0.499,0.504,0.509,0.514,0.519,0.524,0.529,0.533,0.537,0.541,0.545,0.549,0.552,0.555,0.558,0.560,0.563,0.565,0.567,0.568,0.57,0.571
ice_height_m,-0.5,-0.478,-0.457,-0.435,-0.414,-0.392,-0.371,-0.349,-0.328,-0.306,-0.285,-0.263,-0.242,-0.221,-0.2,-0.179,-0.158,-0.137,-0.116,-0.095,-0.074,-0.054,-0.033,-0.013,0.007,0.027,0.047,0.067,0.087,0.106,0.125,0.145,0.164,0.182,0.201,0.219,0.237,0.255,0.273,0.29,0.307,0.323,0.339,0.355,0.371,0.385,0.4,0.414,0.427,0.44,0.452,0.464,0.475,0.485,0.494,0.503,0.512,0.519,0.526,0.532,0.538,0.543,0.548,0.552,0.556,0.559,0.561
cone_width_m,0.5,0.55,0.600,0.600,0.65,0.700,0.75,0.75,0.8,0.850,0.9,0.9,0.950,1.,1.05,1.05,1.1,1.150,1.150,1.200,1.25,1.275,1.3,1.35,1.35,1.400,1.450,1.450,1.5,1.55,1.55,1.6,1.625,1.650,1.700,1.700,1.75,1.775,1.8,1.85,1.85,1.900,1.925,1.950,2.,2.,2.050,2.050,2.1,2.125,2.15,2.2,2.2,2.25,2.25,2.300,2.300,2.35,2.375,2.400,2.45,2.45,2.5,2.5,2.550,2.550,2.6
