time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,51.730000000000004
cone_height_m,0.000,0.017,0.034,0.052,0.069,0.086,0.103,0.121,0.138,0.155,0.172,0.189,0.206,0.222,0.239,0.255,0.270,0.285,0.3,0.314,0.328,0.341,0.354,0.367,0.379,0.390,0.402,0.413,0.424,0.434,0.444,0.454,0.464,0.474,0.483,0.493,0.502,0.511,0.52,0.529,0.537,0.546,0.554,0.563,0.571,0.579,0.587,0.595,0.603,0.611,0.618,0.626,0.633,0.641,0.648,0.655,0.662,0.669,0.676,0.683,0.69,0.696,0.703,0.71,0.716,0.722,0.729,0.735,0.741,0.747,0.753,0.759,0.765,0.770,0.776,0.781,0.787,0.792,0.797,0.802,0.807,0.811,0.816,0.820,0.824,0.828,0.832,0.836,0.84,0.843,0.846,0.849,0.852,0.855,0.858,0.860,0.862,0.864,0.866,0.868,0.87,0.872,0.873,0.874,0.875
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.310,-0.293,-0.276,-0.259,-0.241,-0.224,-0.207,-0.19,-0.173,-0.155,-0.138,-0.121,-0.104,-0.087,-0.07,-0.053,-0.036,-0.019,-0.002,0.015,0.032,0.048,0.065,0.082,0.099,0.115,0.132,0.148,0.165,0.181,0.197,0.214,0.23,0.246,0.262,0.278,0.294,0.309,0.325,0.341,0.356,0.371,0.387,0.402,0.417,0.432,0.447,0.461,0.476,0.490,0.504,0.518,0.532,0.546,0.559,0.573,0.586,0.599,0.611,0.624,0.636,0.648,0.66,0.671,0.683,0.693,0.704,0.714,0.724,0.734,0.743,0.752,0.761,0.769,0.777,0.785,0.792,0.799,0.806,0.812,0.818,0.823,0.828,0.833,0.838,0.842,0.846,0.85,0.853,0.856,0.859,0.861,0.864,0.865
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.600,0.600,0.65,0.65,0.700,0.700,0.700,0.75,0.75,0.8,0.8,0.850,0.850,0.9,0.9,0.9,0.950,0.950,1.,1.,1.025,1.05,1.05,1.1,1.1,1.150,1.150,1.150,1.200,1.200,1.225,1.25,1.25,1.3,1.3,1.3,1.35,1.35,1.400,1.400,1.400,1.450,1.450,1.450,1.5,1.5,1.5,1.55,1.55,1.575,1.6,1.6,1.625,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.75,1.8,1.8,1.8,1.825,1.85,1.85,1.875,1.900,1.900,1.925,1.950,1.950,1.950,2.,2.,2.,2.050,2.050,2.050,2.1,2.1,2.1,2.125,2.15,2.15,2.15,2.2,2.2,2.2,2.225,2.25,2.25,2.25,2.300,2.300,2.300,2.35,2.35,2.35
