time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.36
cone_height_m,0.000,0.022,0.043,0.064,0.085,0.103,0.120,0.135,0.149,0.162,0.174,0.185,0.196,0.207,0.217,0.227,0.237,0.246,0.256,0.265,0.274,0.283,0.292,0.300,0.309,0.317,0.325,0.333,0.341,0.349,0.356,0.364,0.371,0.378,0.385,0.392,0.398,0.405,0.411,0.417,0.422,0.428,0.433,0.437,0.442,0.446,0.451,0.455,0.459,0.462,0.466,0.469,0.472,0.475,0.478,0.480,0.482,0.484,0.486,0.488,0.489,0.49
ice_height_m,-0.5,-0.478,-0.457,-0.435,-0.414,-0.392,-0.371,-0.349,-0.328,-0.306,-0.285,-0.264,-0.243,-0.222,-0.201,-0.18,-0.159,-0.138,-0.117,-0.097,-0.076,-0.056,-0.036,-0.016,0.004,0.024,0.043,0.063,0.082,0.101,0.12,0.138,0.156,0.175,0.192,0.21,0.227,0.244,0.260,0.277,0.292,0.308,0.322,0.336,0.350,0.363,0.376,0.387,0.398,0.409,0.419,0.427,0.436,0.443,0.45,0.456,0.462,0.466,0.471,0.475,0.478,0.48
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.700,0.75,0.8,0.850,0.9,0.950,1.,1.05,1.05,1.1,1.150,1.200,1.25,1.25,1.3,1.35,1.400,1.400,1.450,1.5,1.55,1.55,1.6,1.650,1.675,1.700,1.75,1.8,1.8,1.85,1.900,1.900,1.950,2.,2.,2.050,2.1,2.1,2.15,2.2,2.2,2.25,2.300,2.300,2.35,2.375,2.400,2.45,2.45,2.5,2.550,2.550,2.6,2.650,2.650,2.7,2.7
