time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.33
cone_height_m,0.001,0.026,0.052,0.078,0.103,0.129,0.155,0.181,0.207,0.232,0.258,0.282,0.307,0.330,0.353,0.375,0.396,0.416,0.435,0.453,0.470,0.487,0.503,0.518,0.533,0.548,0.562,0.576,0.589,0.603,0.616,0.628,0.641,0.653,0.665,0.677,0.689,0.700,0.711,0.723,0.734,0.744,0.755,0.765,0.776,0.786,0.796,0.805,0.815,0.824,0.834,0.843,0.851,0.86,0.868,0.876,0.883,0.891,0.898,0.904,0.910,0.916,0.922,0.927,0.932,0.936,0.940,0.944,0.947,0.950,0.953,0.956,0.958,0.959
ice_height_m,-0.499,-0.474,-0.448,-0.422,-0.397,-0.371,-0.345,-0.319,-0.293,-0.267,-0.241,-0.216,-0.19,-0.164,-0.138,-0.112,-0.087,-0.061,-0.035,-0.01,0.016,0.041,0.067,0.092,0.117,0.143,0.168,0.192,0.217,0.242,0.266,0.291,0.315,0.339,0.363,0.386,0.41,0.433,0.456,0.479,0.501,0.523,0.545,0.567,0.588,0.609,0.629,0.649,0.669,0.688,0.707,0.725,0.742,0.759,0.776,0.792,0.807,0.821,0.834,0.847,0.859,0.871,0.881,0.891,0.9,0.908,0.916,0.922,0.928,0.934,0.939,0.943,0.947,0.949
cone_width_m,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.700,0.75,0.75,0.8,0.8,0.850,0.9,0.9,0.950,0.975,1.,1.05,1.05,1.1,1.125,1.150,1.200,1.200,1.25,1.25,1.3,1.3,1.35,1.375,1.400,1.425,1.450,1.5,1.5,1.55,1.55,1.6,1.6,1.625,1.650,1.675,1.700,1.725,1.75,1.75,1.8,1.8,1.85,1.85,1.900,1.900,1.925,1.950,1.950,2.,2.,2.050,2.050,2.075,2.1,2.1,2.15,2.15,2.2,2.2,2.2,2.25,2.25,2.300,2.300,2.300,2.35
