time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.38
cone_height_m,0.000,0.017,0.034,0.052,0.068,0.084,0.098,0.110,0.122,0.133,0.143,0.152,0.161,0.17,0.178,0.186,0.194,0.202,0.209,0.217,0.224,0.231,0.238,0.245,0.252,0.259,0.266,0.272,0.279,0.285,0.292,0.298,0.304,0.310,0.316,0.322,0.328,0.334,0.339,0.345,0.350,0.355,0.361,0.366,0.370,0.375,0.38,0.384,0.389,0.393,0.397,0.400,0.404,0.407,0.411,0.414,0.417,0.42,0.423,0.425,0.428,0.430,0.432,0.435,0.437,0.439,0.440,0.442,0.444,0.445,0.446,0.447,0.448,0.449
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.311,-0.294,-0.277,-0.26,-0.243,-0.226,-0.209,-0.193,-0.176,-0.159,-0.143,-0.127,-0.110,-0.094,-0.078,-0.062,-0.046,-0.03,-0.014,0.002,0.018,0.033,0.048,0.064,0.079,0.094,0.109,0.123,0.138,0.152,0.166,0.180,0.194,0.208,0.221,0.234,0.247,0.259,0.271,0.283,0.295,0.306,0.317,0.327,0.337,0.347,0.356,0.365,0.373,0.380,0.388,0.394,0.401,0.406,0.412,0.416,0.421,0.425,0.428,0.432,0.435,0.437,0.439
cone_width_m,0.5,0.55,0.600,0.600,0.65,0.700,0.75,0.775,0.8,0.850,0.9,0.950,0.950,1.,1.05,1.1,1.1,1.150,1.200,1.200,1.25,1.3,1.3,1.35,1.400,1.400,1.450,1.5,1.5,1.55,1.575,1.6,1.650,1.650,1.700,1.75,1.75,1.8,1.8,1.85,1.900,1.900,1.950,1.950,2.,2.025,2.050,2.1,2.1,2.15,2.15,2.2,2.25,2.25,2.300,2.300,2.35,2.35,2.400,2.425,2.45,2.5,2.5,2.550,2.550,2.6,2.6,2.650,2.650,2.7,2.725,2.75,2.775,2.800
