time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.19
cone_height_m,0.000,0.009,0.017,0.026,0.034,0.043,0.051,0.058,0.065,0.071,0.077,0.083,0.088,0.092,0.097,0.101,0.106,0.11,0.114,0.118,0.121,0.125,0.129,0.132,0.136,0.139,0.143,0.146,0.149,0.153,0.156,0.159,0.162,0.165,0.168,0.172,0.175,0.178,0.181,0.184,0.187,0.19,0.193,0.196,0.198,0.201,0.204,0.207,0.21,0.213,0.215,0.218,0.221,0.224,0.226,0.229,0.231,0.234,0.237,0.239,0.242,0.244,0.247,0.249,0.252,0.254,0.257,0.259,0.261,0.264,0.266,0.268,0.271,0.273,0.275,0.277,0.279,0.281,0.284,0.286,0.288,0.29,0.291,0.293,0.295,0.297,0.299,0.301,0.302,0.304,0.306,0.307,0.309,0.310,0.312,0.313,0.314,0.316,0.317,0.318,0.319,0.320,0.321,0.322,0.323,0.324,0.325,0.326,0.327,0.328,0.328,0.329,0.33,0.331,0.331,0.332,0.333,0.333,0.334,0.334,0.335,0.335,0.336,0.336,0.337,0.337,0.337,0.338,0.338,0.338
ice_height_m,-0.5,-0.491,-0.483,-0.474,-0.466,-0.457,-0.448,-0.44,-0.431,-0.422,-0.414,-0.405,-0.397,-0.388,-0.38,-0.371,-0.362,-0.354,-0.345,-0.337,-0.328,-0.32,-0.311,-0.303,-0.294,-0.286,-0.278,-0.269,-0.261,-0.253,-0.244,-0.236,-0.228,-0.219,-0.211,-0.203,-0.195,-0.186,-0.178,-0.17,-0.162,-0.154,-0.146,-0.138,-0.129,-0.121,-0.113,-0.105,-0.098,-0.09,-0.082,-0.074,-0.066,-0.058,-0.050,-0.043,-0.035,-0.027,-0.02,-0.012,-0.004,0.003,0.011,0.018,0.025,0.033,0.040,0.047,0.055,0.062,0.069,0.076,0.083,0.090,0.097,0.104,0.111,0.117,0.124,0.131,0.137,0.144,0.150,0.157,0.163,0.169,0.175,0.181,0.187,0.193,0.199,0.204,0.21,0.215,0.221,0.226,0.231,0.236,0.241,0.246,0.251,0.255,0.26,0.264,0.268,0.272,0.276,0.28,0.283,0.287,0.290,0.293,0.296,0.299,0.302,0.305,0.307,0.309,0.312,0.314,0.316,0.318,0.319,0.321,0.323,0.324,0.325,0.327,0.328,0.328
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.850,0.850,0.9,0.9,0.950,0.950,1.,1.,1.05,1.05,1.1,1.1,1.150,1.150,1.200,1.200,1.25,1.25,1.3,1.3,1.3,1.35,1.35,1.400,1.400,1.450,1.450,1.475,1.5,1.5,1.55,1.55,1.6,1.6,1.6,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.8,1.8,1.8,1.85,1.85,1.900,1.900,1.900,1.950,1.950,1.975,2.,2.,2.050,2.050,2.075,2.1,2.1,2.15,2.15,2.15,2.2,2.2,2.225,2.25,2.25,2.300,2.300,2.300,2.35,2.35,2.35,2.400,2.400,2.425,2.45,2.45,2.5,2.5,2.5,2.550,2.550,2.550,2.6,2.6,2.625,2.650,2.650,2.675,2.7,2.7,2.75,2.75,2.75,2.800,2.800,2.800,2.85,2.85,2.85,2.900,2.900,2.900,2.95,2.95,2.95,3.,3.,3.025,3.050,3.050,3.075,3.1,3.1,3.1
