time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,24.8
cone_height_m,0.001,0.026,0.052,0.077,0.099,0.118,0.135,0.151,0.165,0.179,0.191,0.204,0.216,0.227,0.238,0.249,0.26,0.270,0.281,0.291,0.301,0.310,0.32,0.329,0.338,0.347,0.355,0.364,0.372,0.38,0.387,0.394,0.401,0.408,0.414,0.42,0.425,0.430,0.435,0.44,0.444,0.448,0.452,0.455,0.458,0.461,0.464,0.466,0.468,0.469,0.470
ice_height_m,-0.499,-0.474,-0.448,-0.422,-0.397,-0.371,-0.345,-0.319,-0.294,-0.268,-0.243,-0.218,-0.192,-0.167,-0.143,-0.118,-0.093,-0.069,-0.045,-0.021,0.003,0.027,0.05,0.073,0.096,0.118,0.14,0.162,0.183,0.204,0.224,0.244,0.263,0.282,0.300,0.317,0.334,0.349,0.364,0.378,0.390,0.402,0.412,0.422,0.43,0.437,0.444,0.449,0.454,0.458,0.460
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.8,0.850,0.9,0.950,1.,1.05,1.1,1.150,1.200,1.25,1.3,1.35,1.400,1.450,1.5,1.55,1.575,1.6,1.650,1.700,1.75,1.8,1.85,1.900,1.925,1.950,2.,2.050,2.1,2.15,2.175,2.2,2.25,2.300,2.35,2.375,2.400,2.45,2.5,2.550,2.575,2.6,2.650,2.7,2.725,2.75
