time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,44.71
cone_height_m,0.000,0.017,0.034,0.052,0.069,0.086,0.103,0.120,0.136,0.152,0.167,0.181,0.195,0.208,0.221,0.232,0.244,0.255,0.266,0.276,0.286,0.296,0.306,0.315,0.324,0.333,0.342,0.351,0.36,0.368,0.376,0.385,0.393,0.401,0.408,0.416,0.424,0.432,0.439,0.446,0.454,0.461,0.468,0.475,0.482,0.489,0.495,0.502,0.509,0.515,0.521,0.527,0.533,0.539,0.545,0.551,0.556,0.562,0.567,0.572,0.577,0.582,0.587,0.592,0.597,0.602,0.606,0.610,0.615,0.619,0.623,0.627,0.631,0.634,0.638,0.641,0.644,0.647,0.650,0.653,0.655,0.658,0.66,0.662,0.664,0.665,0.667,0.668,0.67,0.671,0.672
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.310,-0.293,-0.276,-0.259,-0.242,-0.225,-0.208,-0.191,-0.174,-0.157,-0.14,-0.123,-0.106,-0.089,-0.072,-0.056,-0.039,-0.023,-0.006,0.010,0.027,0.043,0.059,0.075,0.092,0.108,0.123,0.139,0.155,0.171,0.186,0.202,0.217,0.232,0.247,0.262,0.277,0.292,0.306,0.321,0.335,0.349,0.363,0.376,0.39,0.403,0.416,0.429,0.441,0.454,0.466,0.477,0.489,0.500,0.511,0.521,0.531,0.541,0.551,0.56,0.568,0.577,0.584,0.592,0.599,0.606,0.612,0.618,0.624,0.629,0.633,0.638,0.642,0.646,0.649,0.653,0.655,0.658,0.661,0.662
cone_width_m,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.850,0.850,0.9,0.9,0.950,0.950,1.,1.,1.05,1.05,1.1,1.1,1.150,1.150,1.200,1.200,1.25,1.25,1.3,1.3,1.35,1.35,1.375,1.400,1.400,1.450,1.450,1.5,1.5,1.55,1.55,1.55,1.6,1.6,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.8,1.8,1.825,1.85,1.85,1.900,1.900,1.925,1.950,1.950,2.,2.,2.025,2.050,2.050,2.1,2.1,2.1,2.15,2.15,2.2,2.2,2.2,2.25,2.25,2.275,2.300,2.300,2.35,2.35,2.35,2.400,2.400,2.425,2.45,2.45,2.45
