time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0
cone_height_m,0.000,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.199,0.219,0.238,0.257,0.276,0.294,0.311,0.328,0.344,0.36,0.375,0.389,0.403,0.417,0.430,0.443,0.455,0.467,0.479,0.491,0.502,0.513,0.524,0.535,0.546,0.556,0.567,0.577,0.588,0.598,0.608,0.618,0.628,0.638,0.648,0.658,0.668,0.677,0.687,0.697,0.706,0.716,0.726,0.735,0.745,0.754,0.763,0.773,0.782,0.791,0.801
ice_height_m,-100.,-99.980,-99.960,-99.940,-99.920,-99.900,-99.880,-99.860,-99.840,-99.820,-99.800,-99.780,-99.760,-99.740,-99.720,-99.700,-99.680,-99.660,-99.640,-99.620,-99.600,-99.580,-99.560,-99.540,-99.520,-99.500,-99.480,-99.460,-99.440,-99.420,-99.400,-99.380,-99.361,-99.341,-99.321,-99.301,-99.281,-99.261,-99.241,-99.221,-99.201,-99.181,-99.161,-99.141,-99.121,-99.101,-99.081,-99.061,-99.041,-99.021,-99.001,-98.981,-98.961,-98.941,-98.921,-98.901,-98.881,-98.861,-98.841,-98.821,-98.801
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.825,0.850,0.850,0.9,0.9,0.950,0.950,1.,1.,1.05,1.05,1.1,1.1,1.150,1.150,1.175,1.200,1.200,1.25,1.25,1.3,1.3,1.325,1.35,1.35,1.400,1.400,1.425,1.450,1.450,1.5,1.5,1.55,1.55,1.55,1.6,1.6,1.625,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.8,1.8
