time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,38.57
cone_height_m,0.000,0.017,0.034,0.052,0.069,0.085,0.101,0.115,0.129,0.141,0.153,0.163,0.174,0.183,0.193,0.202,0.210,0.219,0.227,0.235,0.243,0.251,0.258,0.266,0.273,0.281,0.288,0.295,0.302,0.309,0.316,0.322,0.329,0.335,0.342,0.348,0.355,0.361,0.367,0.373,0.379,0.384,0.390,0.396,0.401,0.406,0.411,0.417,0.421,0.426,0.431,0.435,0.44,0.444,0.448,0.451,0.455,0.459,0.462,0.466,0.469,0.472,0.475,0.478,0.481,0.484,0.486,0.489,0.491,0.493,0.495,0.497,0.499,0.500,0.501,0.503,0.504,0.505,0.505
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.311,-0.294,-0.277,-0.259,-0.243,-0.226,-0.209,-0.192,-0.175,-0.158,-0.142,-0.125,-0.109,-0.092,-0.076,-0.06,-0.043,-0.027,-0.011,0.005,0.021,0.036,0.052,0.068,0.083,0.098,0.114,0.129,0.143,0.158,0.173,0.187,0.201,0.216,0.229,0.243,0.257,0.27,0.283,0.295,0.308,0.320,0.332,0.343,0.354,0.365,0.376,0.386,0.395,0.404,0.413,0.421,0.429,0.437,0.444,0.45,0.456,0.462,0.467,0.472,0.476,0.48,0.483,0.487,0.49,0.492,0.495,0.495
cone_width_m,0.5,0.55,0.55,0.600,0.65,0.65,0.700,0.75,0.8,0.8,0.850,0.9,0.925,0.950,1.,1.025,1.05,1.1,1.1,1.150,1.200,1.200,1.25,1.3,1.3,1.35,1.35,1.400,1.425,1.450,1.5,1.5,1.55,1.55,1.6,1.625,1.650,1.700,1.700,1.75,1.75,1.8,1.8,1.85,1.85,1.900,1.900,1.950,1.975,2.,2.025,2.050,2.1,2.1,2.15,2.15,2.2,2.2,2.25,2.25,2.300,2.300,2.35,2.35,2.400,2.400,2.45,2.45,2.5,2.5,2.525,2.550,2.575,2.6,2.6,2.650,2.650,2.7,2.7
