time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.1
cone_height_m,0.000,0.013,0.026,0.039,0.052,0.065,0.078,0.091,0.103,0.116,0.129,0.142,0.155,0.167,0.18,0.192,0.204,0.215,0.227,0.237,0.248,0.258,0.268,0.278,0.287,0.296,0.304,0.313,0.321,0.329,0.337,0.344,0.351,0.359,0.366,0.373,0.38,0.386,0.393,0.4,0.406,0.412,0.419,0.425,0.431,0.437,0.443,0.449,0.455,0.461,0.467,0.473,0.479,0.484,0.490,0.496,0.501,0.507,0.512,0.517,0.523,0.528,0.533,0.538,0.544,0.549,0.554,0.559,0.563,0.568,0.573,0.578,0.582,0.587,0.592,0.596,0.601,0.605,0.609,0.614,0.618,0.622,0.627,0.631,0.635,0.639,0.643,0.647,0.651,0.655,0.659,0.662,0.666,0.67,0.673,0.677,0.680,0.683,0.687,0.69,0.693,0.696,0.699,0.702,0.705,0.707,0.71,0.712,0.715,0.717,0.719,0.721,0.723,0.725,0.727,0.729,0.731,0.732,0.734,0.735,0.737,0.738,0.739,0.740,0.741,0.742,0.743,0.743
ice_height_m,-0.5,-0.487,-0.474,-0.461,-0.448,-0.435,-0.422,-0.409,-0.397,-0.384,-0.371,-0.358,-0.345,-0.332,-0.319,-0.306,-0.293,-0.280,-0.267,-0.254,-0.241,-0.229,-0.216,-0.203,-0.190,-0.177,-0.164,-0.152,-0.139,-0.126,-0.113,-0.101,-0.088,-0.075,-0.062,-0.05,-0.037,-0.025,-0.012,0.000,0.013,0.025,0.038,0.050,0.062,0.075,0.087,0.099,0.111,0.124,0.136,0.148,0.16,0.172,0.184,0.196,0.207,0.219,0.231,0.242,0.254,0.266,0.277,0.288,0.3,0.311,0.322,0.333,0.344,0.355,0.366,0.377,0.388,0.398,0.409,0.419,0.429,0.44,0.45,0.46,0.469,0.479,0.489,0.498,0.507,0.516,0.525,0.534,0.543,0.552,0.56,0.568,0.576,0.584,0.592,0.599,0.606,0.614,0.620,0.627,0.634,0.64,0.646,0.652,0.658,0.663,0.668,0.673,0.678,0.683,0.687,0.691,0.695,0.699,0.703,0.706,0.709,0.712,0.715,0.718,0.721,0.723,0.725,0.727,0.729,0.731,0.733,0.733
cone_width_m,0.5,0.5,0.55,0.55,0.55,0.600,0.600,0.65,0.65,0.65,0.700,0.700,0.700,0.75,0.75,0.8,0.8,0.8,0.850,0.850,0.9,0.9,0.9,0.950,0.950,1.,1.,1.,1.05,1.05,1.05,1.1,1.1,1.150,1.150,1.150,1.200,1.200,1.200,1.25,1.25,1.25,1.3,1.3,1.3,1.35,1.35,1.35,1.400,1.400,1.400,1.450,1.450,1.450,1.5,1.5,1.5,1.55,1.55,1.55,1.6,1.6,1.6,1.625,1.650,1.650,1.650,1.700,1.700,1.700,1.75,1.75,1.75,1.775,1.8,1.8,1.8,1.85,1.85,1.85,1.875,1.900,1.900,1.900,1.950,1.950,1.950,1.975,2.,2.,2.,2.050,2.050,2.050,2.050,2.1,2.1,2.1,2.125,2.15,2.15,2.15,2.175,2.2,2.2,2.2,2.25,2.25,2.25,2.25,2.300,2.300,2.300,2.300,2.35,2.35,2.35,2.35,2.400,2.400,2.400,2.400,2.45,2.45,2.45,2.45,2.5,2.5
