time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,35.81
cone_height_m,0.000,0.022,0.043,0.065,0.086,0.108,0.129,0.149,0.169,0.188,0.205,0.222,0.237,0.252,0.265,0.279,0.291,0.303,0.315,0.326,0.337,0.348,0.359,0.369,0.379,0.389,0.399,0.409,0.418,0.428,0.437,0.446,0.455,0.464,0.472,0.481,0.489,0.497,0.505,0.513,0.521,0.528,0.536,0.543,0.55,0.556,0.563,0.57,0.576,0.582,0.589,0.595,0.600,0.606,0.612,0.617,0.622,0.627,0.632,0.636,0.640,0.644,0.648,0.651,0.654,0.657,0.66,0.662,0.665,0.667,0.668,0.670,0.671
ice_height_m,-0.5,-0.478,-0.457,-0.435,-0.414,-0.392,-0.371,-0.349,-0.328,-0.306,-0.285,-0.263,-0.242,-0.220,-0.199,-0.178,-0.156,-0.135,-0.114,-0.093,-0.072,-0.051,-0.030,-0.01,0.011,0.031,0.052,0.072,0.092,0.112,0.132,0.152,0.171,0.191,0.21,0.229,0.248,0.267,0.285,0.303,0.321,0.339,0.356,0.373,0.390,0.407,0.423,0.439,0.454,0.469,0.483,0.497,0.511,0.524,0.536,0.548,0.559,0.57,0.580,0.59,0.598,0.607,0.614,0.621,0.628,0.634,0.639,0.644,0.649,0.653,0.656,0.659,0.661
cone_width_m,0.5,0.55,0.55,0.600,0.65,0.65,0.700,0.75,0.75,0.8,0.850,0.9,0.9,0.950,1.,1.,1.05,1.1,1.1,1.150,1.175,1.200,1.25,1.25,1.3,1.35,1.35,1.400,1.400,1.450,1.475,1.5,1.55,1.55,1.6,1.6,1.650,1.650,1.700,1.700,1.75,1.775,1.8,1.825,1.85,1.900,1.900,1.950,1.950,2.,2.,2.050,2.050,2.1,2.1,2.15,2.15,2.175,2.2,2.225,2.25,2.275,2.300,2.300,2.35,2.35,2.400,2.400,2.45,2.45,2.5,2.5,2.5
