simulation_number	D	h_c	S_c	b_0	debris_radius	debris_depth	cone_height	cone_width	days
1	0.001	0.08	0.9	0.02	0.25	0.5	0.671	2.5	89.51
2	0.001	0.08	0.9	0.03	0.25	0.5	0.743	2.5	63.09
3	0.001	0.08	0.9	0.04	0.25	0.5	0.792	2.45	49.02
4	0.001	0.08	0.9	0.05	0.25	0.5	0.828	2.45	40.21
5	0.0025	0.08	0.9	0.02	0.25	0.5	0.505	2.7	77.14
6	0.0025	0.08	0.9	0.03	0.25	0.5	0.578	2.6	55.09
7	0.0025	0.08	0.9	0.04	0.25	0.5	0.63	2.55	43.27
8	0.0025	0.08	0.9	0.05	0.25	0.5	0.671	2.5	35.8
9	0.005	0.08	0.9	0.02	0.25	0.5	0.391	2.95	68.34
10	0.005	0.08	0.9	0.03	0.25	0.5	0.456	2.8	48.89
11	0.005	0.08	0.9	0.04	0.25	0.5	0.505	2.7	38.56
12	0.005	0.08	0.9	0.05	0.25	0.5	0.545	2.65	32.05
13	0.0075	0.08	0.9	0.02	0.25	0.5	0.333	3.15	63.82
14	0.0075	0.08	0.9	0.03	0.25	0.5	0.391	2.95	45.55
15	0.0075	0.08	0.9	0.04	0.25	0.5	0.437	2.825	35.91
16	0.0075	0.08	0.9	0.05	0.25	0.5	0.474	2.75	29.88
17	0.01	0.08	0.9	0.02	0.25	0.5	0.296	3.3	60.95
18	0.01	0.08	0.9	0.03	0.25	0.5	0.349	3.05	43.38
19	0.01	0.08	0.9	0.04	0.25	0.5	0.391	2.95	34.16
20	0.01	0.08	0.9	0.05	0.25	0.5	0.426	2.85	28.41
21	0.001	0.08	0.9	0.06	0.25	0.5	0.856	2.45	34.18
22	0.0025	0.08	0.9	0.06	0.25	0.5	0.704	2.5	30.62
23	0.005	0.08	0.9	0.06	0.25	0.5	0.578	2.6	27.55
24	0.0075	0.08	0.9	0.06	0.25	0.5	0.505	2.7	25.72
25	0.01	0.08	0.9	0.06	0.25	0.5	0.456	2.8	24.45
