time_days,0.001,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,25.716
cone_height_m,0.000,0.026,0.052,0.077,0.101,0.122,0.141,0.158,0.174,0.188,0.202,0.215,0.227,0.239,0.251,0.262,0.273,0.284,0.295,0.305,0.316,0.326,0.336,0.345,0.355,0.364,0.373,0.382,0.390,0.398,0.406,0.414,0.422,0.429,0.435,0.442,0.448,0.453,0.459,0.464,0.469,0.474,0.478,0.483,0.486,0.49,0.493,0.496,0.499,0.501,0.503,0.504,0.505
ice_height_m,-0.5,-0.474,-0.448,-0.422,-0.397,-0.371,-0.345,-0.319,-0.294,-0.268,-0.243,-0.217,-0.192,-0.167,-0.142,-0.117,-0.092,-0.068,-0.043,-0.019,0.005,0.029,0.052,0.075,0.098,0.121,0.143,0.166,0.187,0.209,0.229,0.25,0.27,0.289,0.308,0.326,0.343,0.36,0.376,0.390,0.404,0.417,0.429,0.440,0.450,0.459,0.467,0.474,0.48,0.485,0.49,0.494,0.495
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.75,0.8,0.850,0.925,0.975,1.025,1.075,1.1,1.150,1.200,1.25,1.3,1.35,1.400,1.450,1.5,1.525,1.55,1.6,1.650,1.700,1.75,1.775,1.8,1.85,1.900,1.950,1.975,2.,2.050,2.1,2.15,2.15,2.2,2.25,2.300,2.300,2.35,2.400,2.45,2.45,2.5,2.550,2.575,2.6,2.650,2.7,2.7
