time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.22
cone_height_m,0.000,0.022,0.043,0.065,0.086,0.108,0.129,0.151,0.172,0.194,0.215,0.236,0.256,0.275,0.294,0.312,0.329,0.345,0.360,0.374,0.388,0.401,0.413,0.426,0.437,0.449,0.46,0.471,0.482,0.492,0.502,0.513,0.523,0.533,0.542,0.552,0.562,0.571,0.580,0.589,0.598,0.607,0.616,0.624,0.632,0.641,0.649,0.657,0.665,0.673,0.681,0.688,0.696,0.703,0.710,0.717,0.724,0.731,0.738,0.744,0.750,0.757,0.762,0.768,0.773,0.779,0.784,0.788,0.793,0.797,0.801,0.804,0.808,0.811,0.814,0.817,0.819,0.822,0.824,0.826,0.827,0.828
ice_height_m,-0.5,-0.478,-0.457,-0.435,-0.414,-0.392,-0.371,-0.349,-0.328,-0.306,-0.284,-0.263,-0.241,-0.22,-0.198,-0.177,-0.155,-0.134,-0.113,-0.091,-0.07,-0.049,-0.027,-0.006,0.015,0.036,0.057,0.077,0.098,0.119,0.139,0.16,0.180,0.200,0.220,0.240,0.260,0.28,0.299,0.319,0.338,0.357,0.376,0.395,0.413,0.431,0.449,0.467,0.484,0.502,0.518,0.535,0.551,0.567,0.583,0.598,0.613,0.627,0.641,0.654,0.667,0.68,0.692,0.703,0.714,0.725,0.734,0.744,0.752,0.760,0.768,0.775,0.781,0.787,0.793,0.798,0.802,0.807,0.810,0.814,0.817,0.818
cone_width_m,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.700,0.75,0.75,0.8,0.8,0.850,0.9,0.9,0.950,1.,1.,1.05,1.05,1.1,1.150,1.150,1.200,1.200,1.25,1.25,1.3,1.325,1.35,1.400,1.400,1.450,1.450,1.5,1.5,1.55,1.55,1.6,1.6,1.650,1.650,1.675,1.700,1.700,1.75,1.75,1.8,1.8,1.85,1.85,1.900,1.900,1.925,1.950,1.950,2.,2.,2.050,2.050,2.050,2.1,2.1,2.15,2.15,2.175,2.2,2.2,2.25,2.25,2.25,2.300,2.300,2.35,2.35,2.35,2.400,2.400,2.400,2.45,2.45,2.45
