time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.42
cone_height_m,0.000,0.022,0.043,0.064,0.083,0.1,0.115,0.128,0.14,0.151,0.161,0.172,0.181,0.191,0.2,0.209,0.218,0.226,0.235,0.243,0.251,0.259,0.267,0.275,0.283,0.29,0.297,0.304,0.312,0.318,0.325,0.332,0.338,0.344,0.350,0.356,0.362,0.367,0.372,0.377,0.382,0.386,0.39,0.394,0.397,0.400,0.404,0.407,0.41,0.412,0.415,0.417,0.419,0.421,0.422,0.424,0.425,0.426
ice_height_m,-0.5,-0.478,-0.457,-0.435,-0.414,-0.392,-0.371,-0.349,-0.328,-0.307,-0.285,-0.264,-0.243,-0.222,-0.201,-0.180,-0.16,-0.139,-0.119,-0.098,-0.078,-0.058,-0.038,-0.019,0.001,0.020,0.04,0.058,0.077,0.096,0.114,0.132,0.15,0.167,0.184,0.201,0.217,0.233,0.248,0.263,0.278,0.292,0.305,0.317,0.329,0.340,0.351,0.360,0.369,0.377,0.384,0.391,0.397,0.402,0.406,0.410,0.414,0.416
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.75,0.8,0.850,0.9,0.950,1.,1.05,1.1,1.150,1.200,1.25,1.3,1.35,1.400,1.425,1.450,1.5,1.55,1.6,1.650,1.675,1.700,1.75,1.8,1.85,1.875,1.900,1.950,2.,2.025,2.050,2.1,2.15,2.2,2.2,2.25,2.300,2.325,2.35,2.400,2.45,2.45,2.5,2.550,2.6,2.6,2.650,2.7,2.7,2.75,2.800,2.800,2.85
