time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.1
cone_height_m,0.000,0.013,0.026,0.039,0.052,0.065,0.078,0.090,0.103,0.115,0.127,0.138,0.148,0.158,0.168,0.177,0.186,0.195,0.203,0.211,0.218,0.226,0.233,0.240,0.247,0.254,0.261,0.267,0.273,0.28,0.286,0.292,0.298,0.304,0.31,0.316,0.322,0.327,0.333,0.339,0.344,0.35,0.355,0.360,0.366,0.371,0.376,0.381,0.387,0.392,0.397,0.402,0.406,0.411,0.416,0.421,0.426,0.430,0.435,0.439,0.444,0.448,0.453,0.457,0.461,0.465,0.469,0.473,0.477,0.481,0.485,0.488,0.492,0.495,0.499,0.502,0.505,0.509,0.512,0.515,0.518,0.521,0.524,0.527,0.530,0.533,0.536,0.538,0.541,0.544,0.546,0.548,0.551,0.553,0.555,0.557,0.559,0.561,0.563,0.564,0.566,0.567,0.569,0.570,0.571,0.573,0.574,0.575,0.576,0.577,0.577,0.578
ice_height_m,-0.5,-0.487,-0.474,-0.461,-0.448,-0.435,-0.422,-0.409,-0.397,-0.384,-0.371,-0.358,-0.345,-0.332,-0.319,-0.306,-0.293,-0.280,-0.268,-0.255,-0.242,-0.229,-0.217,-0.204,-0.191,-0.178,-0.166,-0.153,-0.141,-0.128,-0.116,-0.103,-0.091,-0.078,-0.066,-0.053,-0.041,-0.029,-0.017,-0.004,0.008,0.02,0.032,0.044,0.056,0.068,0.08,0.091,0.103,0.115,0.126,0.138,0.149,0.161,0.172,0.183,0.195,0.206,0.217,0.228,0.238,0.249,0.26,0.270,0.281,0.291,0.301,0.311,0.321,0.331,0.341,0.351,0.36,0.369,0.378,0.387,0.396,0.405,0.413,0.421,0.429,0.437,0.445,0.452,0.459,0.466,0.473,0.479,0.486,0.492,0.497,0.503,0.508,0.513,0.518,0.523,0.527,0.531,0.535,0.539,0.542,0.546,0.549,0.552,0.555,0.557,0.559,0.562,0.564,0.566,0.567,0.568
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.850,0.850,0.875,0.9,0.9,0.950,0.950,1.,1.,1.05,1.05,1.1,1.1,1.1,1.150,1.150,1.200,1.200,1.225,1.25,1.25,1.3,1.3,1.325,1.35,1.35,1.400,1.400,1.425,1.450,1.450,1.5,1.5,1.5,1.55,1.55,1.575,1.6,1.6,1.650,1.650,1.650,1.700,1.700,1.725,1.75,1.75,1.8,1.8,1.8,1.85,1.85,1.85,1.900,1.900,1.900,1.950,1.950,1.950,2.,2.,2.025,2.050,2.050,2.075,2.1,2.1,2.125,2.15,2.15,2.175,2.2,2.2,2.225,2.25,2.25,2.275,2.300,2.300,2.325,2.35,2.35,2.375,2.400,2.400,2.400,2.45,2.45,2.45,2.5,2.5,2.5,2.550,2.550,2.550,2.6,2.6,2.6
