time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.03
cone_height_m,0.000,0.017,0.034,0.052,0.069,0.086,0.103,0.121,0.138,0.155,0.172,0.189,0.206,0.222,0.238,0.253,0.268,0.282,0.296,0.309,0.322,0.333,0.345,0.356,0.366,0.377,0.387,0.396,0.406,0.415,0.424,0.433,0.442,0.450,0.459,0.467,0.475,0.483,0.492,0.499,0.507,0.515,0.523,0.530,0.538,0.545,0.553,0.56,0.567,0.574,0.581,0.588,0.594,0.601,0.608,0.614,0.620,0.627,0.633,0.639,0.645,0.651,0.657,0.663,0.669,0.675,0.680,0.686,0.691,0.697,0.702,0.707,0.712,0.717,0.722,0.727,0.731,0.736,0.74,0.744,0.748,0.752,0.755,0.759,0.762,0.765,0.768,0.771,0.774,0.776,0.778,0.781,0.783,0.784,0.786,0.788,0.789,0.791,0.792,0.792
ice_height_m,-0.5,-0.483,-0.466,-0.448,-0.431,-0.414,-0.397,-0.379,-0.362,-0.345,-0.328,-0.310,-0.293,-0.276,-0.259,-0.241,-0.224,-0.207,-0.19,-0.173,-0.156,-0.138,-0.121,-0.104,-0.087,-0.070,-0.053,-0.036,-0.02,-0.003,0.014,0.031,0.047,0.064,0.080,0.097,0.113,0.13,0.146,0.162,0.178,0.194,0.210,0.226,0.242,0.258,0.273,0.289,0.304,0.319,0.335,0.35,0.365,0.379,0.394,0.408,0.423,0.437,0.451,0.465,0.478,0.492,0.505,0.518,0.531,0.543,0.556,0.568,0.58,0.591,0.602,0.613,0.624,0.634,0.644,0.654,0.663,0.672,0.681,0.689,0.697,0.705,0.712,0.719,0.725,0.731,0.737,0.743,0.748,0.752,0.757,0.761,0.765,0.768,0.771,0.774,0.777,0.78,0.782,0.782
cone_width_m,0.5,0.5,0.55,0.55,0.600,0.600,0.65,0.65,0.700,0.700,0.75,0.75,0.8,0.8,0.850,0.850,0.9,0.9,0.950,0.950,1.,1.,1.05,1.05,1.1,1.1,1.150,1.150,1.200,1.200,1.25,1.25,1.275,1.3,1.3,1.35,1.35,1.400,1.400,1.425,1.450,1.450,1.5,1.5,1.55,1.55,1.55,1.6,1.6,1.625,1.650,1.650,1.700,1.700,1.725,1.75,1.75,1.8,1.8,1.8,1.85,1.85,1.85,1.900,1.900,1.925,1.950,1.950,2.,2.,2.,2.050,2.050,2.050,2.1,2.1,2.1,2.15,2.15,2.15,2.2,2.2,2.2,2.25,2.25,2.25,2.300,2.300,2.300,2.35,2.35,2.35,2.375,2.400,2.400,2.400,2.45,2.45,2.45,2.45
