time_days,0.001,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,27.552
cone_height_m,0.000,0.026,0.052,0.078,0.103,0.126,0.148,0.168,0.186,0.203,0.219,0.233,0.247,0.261,0.273,0.286,0.298,0.310,0.322,0.333,0.344,0.355,0.366,0.376,0.387,0.397,0.407,0.416,0.426,0.435,0.444,0.453,0.461,0.469,0.477,0.485,0.492,0.499,0.505,0.512,0.518,0.524,0.530,0.536,0.541,0.546,0.551,0.555,0.559,0.563,0.566,0.569,0.572,0.574,0.576,0.578,0.578
ice_height_m,-0.5,-0.474,-0.448,-0.422,-0.397,-0.371,-0.345,-0.319,-0.293,-0.268,-0.242,-0.217,-0.191,-0.166,-0.141,-0.116,-0.091,-0.066,-0.041,-0.017,0.008,0.032,0.056,0.08,0.103,0.126,0.149,0.172,0.195,0.217,0.238,0.26,0.281,0.301,0.321,0.341,0.36,0.378,0.396,0.413,0.429,0.445,0.459,0.473,0.486,0.497,0.508,0.518,0.527,0.535,0.543,0.549,0.555,0.559,0.564,0.567,0.568
cone_width_m,0.5,0.55,0.600,0.65,0.700,0.75,0.8,0.850,0.875,0.9,0.950,1.,1.05,1.1,1.150,1.200,1.225,1.25,1.3,1.35,1.400,1.425,1.450,1.5,1.55,1.575,1.6,1.650,1.700,1.725,1.75,1.8,1.85,1.85,1.900,1.950,1.950,2.,2.050,2.075,2.1,2.15,2.175,2.2,2.25,2.275,2.300,2.35,2.375,2.400,2.45,2.45,2.5,2.550,2.550,2.6,2.6
