time_days,0.001,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.451
cone_height_m,0.000,0.026,0.052,0.077,0.099,0.118,0.135,0.15,0.164,0.177,0.189,0.201,0.213,0.224,0.235,0.245,0.256,0.266,0.276,0.286,0.295,0.305,0.314,0.323,0.332,0.340,0.349,0.357,0.365,0.372,0.379,0.386,0.393,0.399,0.405,0.410,0.415,0.420,0.425,0.429,0.433,0.437,0.440,0.443,0.446,0.449,0.451,0.453,0.455,0.456
ice_height_m,-0.5,-0.474,-0.448,-0.422,-0.397,-0.371,-0.345,-0.319,-0.294,-0.268,-0.243,-0.218,-0.193,-0.168,-0.143,-0.118,-0.094,-0.069,-0.045,-0.021,0.002,0.026,0.049,0.072,0.095,0.117,0.139,0.160,0.181,0.202,0.222,0.242,0.261,0.279,0.297,0.314,0.33,0.345,0.359,0.372,0.384,0.395,0.404,0.413,0.421,0.428,0.434,0.439,0.443,0.446
cone_width_m,0.5,0.55,0.600,0.65,0.75,0.8,0.850,0.9,0.950,1.,1.075,1.150,1.200,1.25,1.3,1.35,1.400,1.450,1.475,1.525,1.55,1.6,1.650,1.700,1.75,1.8,1.85,1.900,1.950,1.975,2.,2.050,2.1,2.15,2.2,2.25,2.25,2.300,2.35,2.400,2.45,2.475,2.5,2.550,2.6,2.650,2.650,2.7,2.75,2.800
