time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.39
cone_height_m,0.000,0.013,0.026,0.039,0.051,0.062,0.072,0.081,0.089,0.097,0.104,0.110,0.116,0.122,0.128,0.134,0.139,0.144,0.149,0.155,0.16,0.164,0.169,0.174,0.179,0.183,0.188,0.193,0.197,0.202,0.206,0.210,0.215,0.219,0.223,0.227,0.231,0.236,0.24,0.244,0.247,0.251,0.255,0.259,0.263,0.266,0.27,0.273,0.277,0.280,0.284,0.287,0.290,0.293,0.296,0.299,0.302,0.305,0.308,0.311,0.313,0.316,0.318,0.320,0.322,0.325,0.326,0.328,0.33,0.332,0.333,0.334,0.336,0.337,0.338,0.34,0.341,0.342,0.343,0.344,0.345,0.346,0.346,0.347,0.348,0.348,0.349,0.349
ice_height_m,-0.5,-0.487,-0.474,-0.461,-0.448,-0.435,-0.422,-0.41,-0.397,-0.384,-0.371,-0.358,-0.345,-0.333,-0.32,-0.307,-0.294,-0.282,-0.269,-0.257,-0.244,-0.232,-0.219,-0.207,-0.194,-0.182,-0.17,-0.157,-0.145,-0.133,-0.121,-0.109,-0.097,-0.085,-0.073,-0.062,-0.05,-0.038,-0.027,-0.015,-0.004,0.008,0.019,0.030,0.041,0.052,0.063,0.074,0.084,0.095,0.105,0.116,0.126,0.136,0.146,0.155,0.165,0.174,0.184,0.193,0.201,0.210,0.219,0.227,0.235,0.242,0.25,0.257,0.264,0.271,0.277,0.283,0.289,0.294,0.299,0.304,0.308,0.313,0.317,0.320,0.323,0.326,0.329,0.332,0.334,0.336,0.338,0.339
cone_width_m,0.5,0.55,0.55,0.600,0.65,0.700,0.75,0.75,0.8,0.850,0.9,0.9,0.950,1.,1.05,1.05,1.1,1.150,1.150,1.200,1.25,1.25,1.3,1.35,1.35,1.400,1.450,1.450,1.5,1.5,1.55,1.6,1.6,1.650,1.650,1.700,1.75,1.75,1.8,1.8,1.85,1.85,1.900,1.950,1.950,2.,2.,2.050,2.050,2.1,2.125,2.15,2.2,2.2,2.25,2.25,2.300,2.300,2.35,2.35,2.400,2.400,2.45,2.45,2.5,2.525,2.550,2.575,2.6,2.625,2.650,2.7,2.7,2.75,2.75,2.800,2.800,2.85,2.85,2.900,2.900,2.95,2.95,3.,3.,3.050,3.050,3.050
