time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,70.0,70.5,71.0,71.5,72.0,72.5,73.0,73.5,74.0,74.5,75.0,75.5,76.0,76.5,77.0,77.5,78.0,78.5,79.0,79.5,80.0,80.5,81.0,81.5,82.0,82.5,83.0,83.5,84.0,84.5,85.0,85.5,86.0,86.5,87.0,87.5,88.0,88.5,89.0,89.5,89.52
cone_height_m,0.000,0.009,0.017,0.026,0.034,0.043,0.052,0.060,0.069,0.078,0.086,0.095,0.103,0.112,0.120,0.129,0.137,0.145,0.153,0.161,0.169,0.177,0.184,0.191,0.198,0.205,0.212,0.218,0.225,0.231,0.237,0.243,0.249,0.254,0.260,0.265,0.271,0.276,0.281,0.286,0.291,0.296,0.301,0.306,0.310,0.315,0.32,0.324,0.329,0.333,0.337,0.342,0.346,0.350,0.355,0.359,0.363,0.367,0.371,0.375,0.379,0.383,0.387,0.391,0.395,0.399,0.403,0.407,0.411,0.414,0.418,0.422,0.426,0.429,0.433,0.437,0.440,0.444,0.448,0.451,0.455,0.458,0.462,0.465,0.469,0.472,0.476,0.479,0.482,0.486,0.489,0.492,0.496,0.499,0.502,0.505,0.508,0.512,0.515,0.518,0.521,0.524,0.527,0.53,0.533,0.536,0.538,0.541,0.544,0.547,0.55,0.552,0.555,0.558,0.561,0.563,0.566,0.568,0.571,0.574,0.576,0.579,0.581,0.584,0.586,0.589,0.591,0.593,0.596,0.598,0.600,0.603,0.605,0.607,0.609,0.612,0.614,0.616,0.618,0.620,0.622,0.624,0.626,0.628,0.63,0.632,0.633,0.635,0.637,0.639,0.640,0.642,0.643,0.645,0.646,0.648,0.649,0.651,0.652,0.653,0.654,0.656,0.657,0.658,0.659,0.660,0.661,0.662,0.663,0.664,0.665,0.666,0.666,0.667,0.668,0.669,0.669,0.67,0.671,0.671,0.671
ice_height_m,-0.5,-0.491,-0.483,-0.474,-0.466,-0.457,-0.448,-0.44,-0.431,-0.422,-0.414,-0.405,-0.397,-0.388,-0.379,-0.371,-0.362,-0.353,-0.345,-0.336,-0.328,-0.319,-0.310,-0.302,-0.293,-0.285,-0.276,-0.267,-0.259,-0.250,-0.242,-0.233,-0.225,-0.216,-0.207,-0.199,-0.190,-0.182,-0.173,-0.165,-0.156,-0.148,-0.139,-0.131,-0.123,-0.114,-0.106,-0.097,-0.089,-0.080,-0.072,-0.064,-0.055,-0.047,-0.039,-0.030,-0.022,-0.014,-0.006,0.003,0.011,0.019,0.027,0.035,0.044,0.052,0.06,0.068,0.076,0.084,0.092,0.100,0.108,0.116,0.124,0.132,0.14,0.148,0.156,0.163,0.171,0.179,0.187,0.195,0.202,0.21,0.218,0.225,0.233,0.240,0.248,0.255,0.263,0.270,0.278,0.285,0.292,0.3,0.307,0.314,0.321,0.328,0.335,0.342,0.349,0.356,0.363,0.370,0.377,0.384,0.390,0.397,0.404,0.410,0.416,0.423,0.429,0.436,0.442,0.448,0.454,0.46,0.466,0.472,0.478,0.483,0.489,0.494,0.5,0.505,0.511,0.516,0.521,0.526,0.531,0.536,0.541,0.546,0.550,0.555,0.559,0.564,0.568,0.572,0.576,0.580,0.584,0.588,0.591,0.595,0.598,0.602,0.605,0.608,0.611,0.614,0.617,0.620,0.623,0.625,0.628,0.630,0.633,0.635,0.637,0.639,0.641,0.643,0.645,0.647,0.649,0.650,0.652,0.653,0.655,0.656,0.657,0.659,0.66,0.661,0.661
cone_width_m,0.5,0.5,0.55,0.55,0.55,0.55,0.600,0.600,0.600,0.600,0.65,0.65,0.65,0.65,0.700,0.700,0.700,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.850,0.850,0.850,0.850,0.9,0.9,0.9,0.925,0.950,0.950,0.950,1.,1.,1.,1.,1.05,1.05,1.05,1.05,1.1,1.1,1.1,1.125,1.150,1.150,1.150,1.175,1.200,1.200,1.200,1.225,1.25,1.25,1.25,1.275,1.3,1.3,1.3,1.3,1.35,1.35,1.35,1.35,1.400,1.400,1.400,1.400,1.425,1.450,1.450,1.450,1.475,1.5,1.5,1.5,1.5,1.55,1.55,1.55,1.55,1.575,1.6,1.6,1.6,1.6,1.650,1.650,1.650,1.650,1.650,1.700,1.700,1.700,1.700,1.725,1.75,1.75,1.75,1.75,1.8,1.8,1.8,1.8,1.8,1.85,1.85,1.85,1.85,1.875,1.900,1.900,1.900,1.900,1.925,1.950,1.950,1.950,1.950,1.975,2.,2.,2.,2.,2.025,2.050,2.050,2.050,2.050,2.075,2.1,2.1,2.1,2.1,2.125,2.15,2.15,2.15,2.15,2.15,2.2,2.2,2.2,2.2,2.2,2.25,2.25,2.25,2.25,2.25,2.275,2.300,2.300,2.300,2.300,2.325,2.35,2.35,2.35,2.35,2.35,2.400,2.400,2.400,2.400,2.400,2.425,2.45,2.45,2.45,2.45,2.45,2.5,2.5,2.5,2.5,2.5,2.5
