time_days,0.01,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,45.56
cone_height_m,0.000,0.013,0.026,0.039,0.051,0.064,0.075,0.085,0.094,0.102,0.110,0.117,0.124,0.131,0.137,0.143,0.149,0.155,0.161,0.166,0.172,0.177,0.182,0.188,0.193,0.198,0.203,0.208,0.212,0.217,0.222,0.227,0.231,0.236,0.241,0.245,0.25,0.254,0.258,0.263,0.267,0.271,0.275,0.28,0.284,0.288,0.292,0.296,0.299,0.303,0.307,0.311,0.314,0.318,0.321,0.325,0.328,0.331,0.334,0.337,0.340,0.343,0.346,0.349,0.352,0.354,0.356,0.359,0.361,0.363,0.365,0.367,0.369,0.370,0.372,0.374,0.375,0.377,0.378,0.38,0.381,0.382,0.384,0.385,0.386,0.387,0.388,0.388,0.389,0.39,0.391,0.391,0.391
ice_height_m,-0.5,-0.487,-0.474,-0.461,-0.448,-0.435,-0.422,-0.41,-0.397,-0.384,-0.371,-0.358,-0.345,-0.332,-0.32,-0.307,-0.294,-0.281,-0.269,-0.256,-0.244,-0.231,-0.218,-0.206,-0.194,-0.181,-0.169,-0.156,-0.144,-0.132,-0.12,-0.108,-0.096,-0.084,-0.072,-0.06,-0.048,-0.036,-0.024,-0.013,-0.001,0.011,0.022,0.033,0.045,0.056,0.067,0.078,0.089,0.1,0.110,0.121,0.131,0.142,0.152,0.162,0.172,0.182,0.192,0.201,0.211,0.22,0.229,0.238,0.246,0.255,0.263,0.271,0.279,0.286,0.293,0.300,0.307,0.313,0.319,0.325,0.331,0.336,0.341,0.346,0.35,0.354,0.358,0.361,0.365,0.368,0.370,0.373,0.375,0.377,0.379,0.381,0.381
cone_width_m,0.5,0.55,0.55,0.600,0.65,0.65,0.700,0.75,0.75,0.8,0.850,0.9,0.9,0.950,1.,1.,1.05,1.05,1.1,1.150,1.150,1.200,1.200,1.25,1.3,1.3,1.35,1.35,1.400,1.400,1.450,1.5,1.5,1.55,1.55,1.6,1.6,1.650,1.650,1.700,1.700,1.75,1.75,1.8,1.825,1.85,1.875,1.900,1.925,1.950,1.975,2.,2.025,2.050,2.075,2.1,2.125,2.15,2.175,2.2,2.2,2.25,2.25,2.300,2.300,2.35,2.35,2.400,2.400,2.45,2.45,2.5,2.5,2.550,2.550,2.575,2.6,2.6,2.650,2.650,2.7,2.7,2.75,2.75,2.800,2.800,2.825,2.85,2.85,2.900,2.900,2.95,2.95
